left_gate,left_orientation,right_gate,right_orientation,gap,placement_axis,pair_key
AND2,MY,PNAND3,MX,0.14,horizontal,AND2|MY|PNAND3|MX|0.14|horizontal
AND2,MY,PNAND3,MY,0.0,horizontal,AND2|MY|PNAND3|MY|0.0|horizontal
AND2,MY,PNAND3,MY,0.0025,horizontal,AND2|MY|PNAND3|MY|0.0025|horizontal
AND2,MY,PNAND3,MY,0.07,horizontal,AND2|MY|PNAND3|MY|0.07|horizontal
AND2,MY,PNAND3,MY,0.14,horizontal,AND2|MY|PNAND3|MY|0.14|horizontal
AND2,MY,PNAND3,R0,0.0,horizontal,AND2|MY|PNAND3|R0|0.0|horizontal
AND2,MY,PNAND3,R0,0.0025,horizontal,AND2|MY|PNAND3|R0|0.0025|horizontal
AND2,MY,PNAND3,R0,0.07,horizontal,AND2|MY|PNAND3|R0|0.07|horizontal
AND2,MY,PNAND3,R0,0.14,horizontal,AND2|MY|PNAND3|R0|0.14|horizontal
AND2,MY,PNAND3,R180,0.0,horizontal,AND2|MY|PNAND3|R180|0.0|horizontal
AND2,MY,PNAND3,R180,0.0025,horizontal,AND2|MY|PNAND3|R180|0.0025|horizontal
AND2,MY,PNAND3,R180,0.07,horizontal,AND2|MY|PNAND3|R180|0.07|horizontal
AND2,MY,PNAND3,R180,0.14,horizontal,AND2|MY|PNAND3|R180|0.14|horizontal
AND2,MY,WORDLINEDRIVER,MX,0.0,horizontal,AND2|MY|WORDLINEDRIVER|MX|0.0|horizontal
AND2,MY,WORDLINEDRIVER,MX,0.0025,horizontal,AND2|MY|WORDLINEDRIVER|MX|0.0025|horizontal
AND2,MY,WORDLINEDRIVER,MX,0.07,horizontal,AND2|MY|WORDLINEDRIVER|MX|0.07|horizontal
AND2,MY,WORDLINEDRIVER,MX,0.14,horizontal,AND2|MY|WORDLINEDRIVER|MX|0.14|horizontal
AND2,MY,WORDLINEDRIVER,MY,0.0,horizontal,AND2|MY|WORDLINEDRIVER|MY|0.0|horizontal
AND2,MY,WORDLINEDRIVER,MY,0.0025,horizontal,AND2|MY|WORDLINEDRIVER|MY|0.0025|horizontal
AND2,MY,WORDLINEDRIVER,MY,0.07,horizontal,AND2|MY|WORDLINEDRIVER|MY|0.07|horizontal
AND2,MY,WORDLINEDRIVER,MY,0.14,horizontal,AND2|MY|WORDLINEDRIVER|MY|0.14|horizontal
AND2,MY,WORDLINEDRIVER,R0,0.0,horizontal,AND2|MY|WORDLINEDRIVER|R0|0.0|horizontal
AND2,MY,WORDLINEDRIVER,R0,0.0025,horizontal,AND2|MY|WORDLINEDRIVER|R0|0.0025|horizontal
AND2,MY,WORDLINEDRIVER,R0,0.07,horizontal,AND2|MY|WORDLINEDRIVER|R0|0.07|horizontal
AND2,MY,WORDLINEDRIVER,R0,0.14,horizontal,AND2|MY|WORDLINEDRIVER|R0|0.14|horizontal
AND2,MY,WORDLINEDRIVER,R180,0.0,horizontal,AND2|MY|WORDLINEDRIVER|R180|0.0|horizontal
