shape_id,shape_layer,shape_bbox,owner,net,route_id,segment_key
m1_1557,m1,"[9.0775, 0.0, 9.1425, 0.18]",PARENT_INTEGRATION_ROUTER,array_interface_VSS,array_interface_VSS,source_bbox
m1_1557,m1,"[9.0775, 0.0, 9.1425, 0.18]",TOP_PIN,VSS,TOP_PIN::VSS,top_pin_bbox
m1_1558,m1,"[9.0775, 1.525, 9.1425, 1.885]",PARENT_INTEGRATION_ROUTER,array_interface_VDD,array_interface_VDD,source_bbox
m1_1558,m1,"[9.0775, 1.525, 9.1425, 1.885]",TOP_PIN,VDD,TOP_PIN::VDD,top_pin_bbox
m1_1559,m1,"[9.5075, 1.525, 9.5725, 1.885]",PARENT_INTEGRATION_ROUTER,array_interface_VDD,array_interface_VDD,source_bbox
m1_1559,m1,"[9.5075, 1.525, 9.5725, 1.885]",TOP_PIN,VDD,TOP_PIN::VDD,top_pin_bbox
m1_163,m1,"[118.4625, 8.54, 121.9975, 8.675]",PARENT_INTEGRATION_ROUTER,WL5,WL5,dest_bbox
m1_163,m1,"[118.4625, 8.54, 121.9975, 8.675]",PARENT_INTEGRATION_ROUTER,WL5,WL5,dest_m1_horizontal_bbox
m1_164,m1,"[69.11, 0.83, 69.245, 0.965]",PARENT_INTEGRATION_ROUTER,WL6,WL6,source_bbox
m1_164,m1,"[69.11, 0.83, 69.245, 0.965]",PARENT_INTEGRATION_ROUTER,WL6,WL6,source_m1_landing_bbox
m1_164,m1,"[69.11, 0.83, 69.245, 0.965]",TOP_PIN,WL6,TOP_PIN::WL6,top_pin_bbox
m1_1670,m1,"[9.9975, 1.82, 10.685, 1.885]",PARENT_INTEGRATION_ROUTER,array_interface_VDD,array_interface_VDD,source_bbox
m1_1670,m1,"[9.9975, 1.82, 10.685, 1.885]",TOP_PIN,VDD,TOP_PIN::VDD,top_pin_bbox
m1_1671,m1,"[9.9975, 0.0, 10.685, 0.065]",PARENT_INTEGRATION_ROUTER,array_interface_VSS,array_interface_VSS,source_bbox
m1_1671,m1,"[9.9975, 0.0, 10.685, 0.065]",TOP_PIN,VSS,TOP_PIN::VSS,top_pin_bbox
m1_1672,m1,"[10.475, 1.6825, 10.54, 1.8525]",PARENT_INTEGRATION_ROUTER,array_interface_VDD,array_interface_VDD,source_bbox
m1_1672,m1,"[10.475, 1.6825, 10.54, 1.8525]",TOP_PIN,VDD,TOP_PIN::VDD,top_pin_bbox
m1_1673,m1,"[10.475, 0.0325, 10.54, 0.2025]",PARENT_INTEGRATION_ROUTER,array_interface_VSS,array_interface_VSS,source_bbox
m1_1673,m1,"[10.475, 0.0325, 10.54, 0.2025]",TOP_PIN,VSS,TOP_PIN::VSS,top_pin_bbox
m1_1681,m1,"[10.09, 0.0, 10.155, 0.135]",PARENT_INTEGRATION_ROUTER,array_interface_VSS,array_interface_VSS,source_bbox
m1_1681,m1,"[10.09, 0.0, 10.155, 0.135]",TOP_PIN,VSS,TOP_PIN::VSS,top_pin_bbox
m1_1682,m1,"[10.09, 1.525, 10.155, 1.885]",PARENT_INTEGRATION_ROUTER,array_interface_VDD,array_interface_VDD,source_bbox
m1_1682,m1,"[10.09, 1.525, 10.155, 1.885]",TOP_PIN,VDD,TOP_PIN::VDD,top_pin_bbox
m1_174,m1,"[118.4625, 10.105, 121.7175, 10.24]",PARENT_INTEGRATION_ROUTER,WL6,WL6,dest_bbox
m1_174,m1,"[118.4625, 10.105, 121.7175, 10.24]",PARENT_INTEGRATION_ROUTER,WL6,WL6,dest_m1_horizontal_bbox
m1_1747,m1,"[10.795, 1.82, 12.84, 1.885]",PARENT_INTEGRATION_ROUTER,array_interface_VDD,array_interface_VDD,source_bbox
m1_1747,m1,"[10.795, 1.82, 12.84, 1.885]",TOP_PIN,VDD,TOP_PIN::VDD,top_pin_bbox
m1_1748,m1,"[10.795, 0.0, 12.84, 0.065]",PARENT_INTEGRATION_ROUTER,array_interface_VSS,array_interface_VSS,source_bbox
m1_1748,m1,"[10.795, 0.0, 12.84, 0.065]",TOP_PIN,VSS,TOP_PIN::VSS,top_pin_bbox
m1_175,m1,"[73.075, 0.83, 73.21, 0.965]",PARENT_INTEGRATION_ROUTER,WL7,WL7,source_bbox
m1_175,m1,"[73.075, 0.83, 73.21, 0.965]",PARENT_INTEGRATION_ROUTER,WL7,WL7,source_m1_landing_bbox
m1_175,m1,"[73.075, 0.83, 73.21, 0.965]",TOP_PIN,WL7,TOP_PIN::WL7,top_pin_bbox
m1_1761,m1,"[10.795, 1.82, 12.0425, 1.885]",PARENT_INTEGRATION_ROUTER,array_interface_VDD,array_interface_VDD,source_bbox
m1_1761,m1,"[10.795, 1.82, 12.0425, 1.885]",TOP_PIN,VDD,TOP_PIN::VDD,top_pin_bbox
m1_1762,m1,"[10.795, 0.0, 12.0425, 0.065]",PARENT_INTEGRATION_ROUTER,array_interface_VSS,array_interface_VSS,source_bbox
m1_1762,m1,"[10.795, 0.0, 12.0425, 0.065]",TOP_PIN,VSS,TOP_PIN::VSS,top_pin_bbox
m1_1763,m1,"[11.8325, 1.6825, 11.8975, 1.8525]",PARENT_INTEGRATION_ROUTER,array_interface_VDD,array_interface_VDD,source_bbox
m1_1763,m1,"[11.8325, 1.6825, 11.8975, 1.8525]",TOP_PIN,VDD,TOP_PIN::VDD,top_pin_bbox
m1_1764,m1,"[11.8325, 0.0325, 11.8975, 0.2025]",PARENT_INTEGRATION_ROUTER,array_interface_VSS,array_interface_VSS,source_bbox
m1_1764,m1,"[11.8325, 0.0325, 11.8975, 0.2025]",TOP_PIN,VSS,TOP_PIN::VSS,top_pin_bbox
m1_1779,m1,"[10.8875, 0.0, 10.9525, 0.18]",PARENT_INTEGRATION_ROUTER,array_interface_VSS,array_interface_VSS,source_bbox
m1_1779,m1,"[10.8875, 0.0, 10.9525, 0.18]",TOP_PIN,VSS,TOP_PIN::VSS,top_pin_bbox
m1_1780,m1,"[10.8875, 1.525, 10.9525, 1.885]",PARENT_INTEGRATION_ROUTER,array_interface_VDD,array_interface_VDD,source_bbox
m1_1780,m1,"[10.8875, 1.525, 10.9525, 1.885]",TOP_PIN,VDD,TOP_PIN::VDD,top_pin_bbox
