left_gate,left_orientation,right_gate,right_orientation,gap,power_rail_compatibility,boundary_DRC,Pin_obstruction,same_net_rail_stitching,foreign_net_risk,legal,reason,trial_gds_path,trial_gds_sha256,trial_lyrdb_path
PINV,R0,PNAND2,R180,0.14,True,0,False,True,False,True,,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND2_R180__g0p14.gds,464c1427e38950bda476b578db3fc16f9585fc6bd521630a5a3d35d032639d62,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND2_R180__g0p14_drc/PAIR__PINV_R0__PNAND2_R180__g0p14.lyrdb
PINV,R0,PNAND2,MX,0.0,False,0,False,False,False,True,,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND2_MX__g0p0.gds,d76707df983ff1c13ff4922963ffa2e0da64c94f37111df7c0be35d9a499a0e5,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND2_MX__g0p0_drc/PAIR__PINV_R0__PNAND2_MX__g0p0.lyrdb
PINV,R0,PNAND2,MX,0.0025,False,1,False,False,True,False,drc_marker_count=1,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND2_MX__g0p0025.gds,3cd9e7ca267dc0da1445609e76cb00f75eafb31c128fd0ff155069f10c74bf9e,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND2_MX__g0p0025_drc/PAIR__PINV_R0__PNAND2_MX__g0p0025.lyrdb
PINV,R0,PNAND2,MX,0.07,False,1,False,False,True,False,drc_marker_count=1,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND2_MX__g0p07.gds,c281895ab29d2253fc29c936b18dafafba7edca4e04e2140a1408f97b49384c3,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND2_MX__g0p07_drc/PAIR__PINV_R0__PNAND2_MX__g0p07.lyrdb
PINV,R0,PNAND2,MX,0.14,False,1,False,False,True,False,drc_marker_count=1,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND2_MX__g0p14.gds,c7b785cc4ef3bdd7e7dad45479b6277cb6fd9e71a4c8f3a4a67c1eeaf7caaa70,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND2_MX__g0p14_drc/PAIR__PINV_R0__PNAND2_MX__g0p14.lyrdb
PINV,R0,PNAND2,MY,0.0,True,56,False,True,True,False,drc_marker_count=56,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND2_MY__g0p0.gds,3549feb677e55974d9ad161942a81e334488f2eec4cd6b3c7b145be3e80d5052,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND2_MY__g0p0_drc/PAIR__PINV_R0__PNAND2_MY__g0p0.lyrdb
PINV,R0,PNAND2,MY,0.0025,True,54,False,True,True,False,drc_marker_count=54,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND2_MY__g0p0025.gds,0aa3d41491d98dc97e3ee031afe2367892a0656b6c832b75210924847513d1f4,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND2_MY__g0p0025_drc/PAIR__PINV_R0__PNAND2_MY__g0p0025.lyrdb
PINV,R0,PNAND2,MY,0.07,True,27,False,True,True,False,drc_marker_count=27,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND2_MY__g0p07.gds,7e688e296006a46b4ad06345300108def3fb1ad8785673bd17a168d4fedc6797,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND2_MY__g0p07_drc/PAIR__PINV_R0__PNAND2_MY__g0p07.lyrdb
PINV,R0,PNAND2,MY,0.14,True,68,False,True,True,False,drc_marker_count=68,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND2_MY__g0p14.gds,19df83c51399b80e87b5f536e7cd2f6679986933ec55b63aeda3b66bd906c449,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND2_MY__g0p14_drc/PAIR__PINV_R0__PNAND2_MY__g0p14.lyrdb
PINV,R0,PNAND3,R0,0.0,True,0,False,True,False,True,,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND3_R0__g0p0.gds,418cae9b46379a04f88eb1eb1d4da567a3095ccbbc4c5433cc27401599148a45,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND3_R0__g0p0_drc/PAIR__PINV_R0__PNAND3_R0__g0p0.lyrdb
PINV,R0,PNAND3,R0,0.0025,True,1,False,True,True,False,drc_marker_count=1,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND3_R0__g0p0025.gds,859d7ededc23ddce349492771442386922f0c9c709dc755d9e00af3f94cff660,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND3_R0__g0p0025_drc/PAIR__PINV_R0__PNAND3_R0__g0p0025.lyrdb
PINV,R0,PNAND3,R0,0.07,True,1,False,True,True,False,drc_marker_count=1,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND3_R0__g0p07.gds,f571915de89f655c0f318c0c7db6cadc3a901b6f5f39ff288368682acee34f92,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND3_R0__g0p07_drc/PAIR__PINV_R0__PNAND3_R0__g0p07.lyrdb
PINV,R0,PNAND3,R0,0.14,True,1,False,True,True,False,drc_marker_count=1,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND3_R0__g0p14.gds,11637eea354c90a0b5894b7b4dc7bd7ca2b850930fec409c4706a7c7bb4bf21f,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND3_R0__g0p14_drc/PAIR__PINV_R0__PNAND3_R0__g0p14.lyrdb
