structure_name,is_top_level,is_unreachable
REUSABLE_AFTER__PINV_NW360_PW1080_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_10,False,False
REUSABLE_AFTER__PINV_NW360_PW1080_L50__PINV_NW180_PW270_L50_contact_11,False,False
DEBUG_BEFORE__PINV_NW450_PW1350_L50__PINV_NW450_PW1350_L50,False,False
DEBUG_BEFORE__PINV_NW450_PW1350_L50__PINV_NW450_PW1350_L50_core,False,False
DEBUG_BEFORE__PINV_NW450_PW1350_L50__PINV_NW450_PW1350_L50_pmos_m3_w0_450_sm1_dm1_da_p,False,False
DEBUG_BEFORE__PINV_NW450_PW1350_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_8,False,False
DEBUG_BEFORE__PINV_NW450_PW1350_L50__PINV_NW450_PW1350_L50_nmos_m3_w0_150_sm1_dm1_da_p,False,False
DEBUG_BEFORE__PINV_NW450_PW1350_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_7,False,False
DEBUG_BEFORE__PINV_NW450_PW1350_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_9,False,False
DEBUG_BEFORE__PINV_NW450_PW1350_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_10,False,False
DEBUG_BEFORE__PINV_NW450_PW1350_L50__PINV_NW180_PW270_L50_contact_11,False,False
REUSABLE_AFTER__PINV_NW450_PW1350_L50__PINV_NW450_PW1350_L50,False,False
REUSABLE_AFTER__PINV_NW450_PW1350_L50__PINV_NW450_PW1350_L50_core,False,False
REUSABLE_AFTER__PINV_NW450_PW1350_L50__PINV_NW450_PW1350_L50_pmos_m3_w0_450_sm1_dm1_da_p,False,False
REUSABLE_AFTER__PINV_NW450_PW1350_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_8,False,False
REUSABLE_AFTER__PINV_NW450_PW1350_L50__PINV_NW450_PW1350_L50_nmos_m3_w0_150_sm1_dm1_da_p,False,False
REUSABLE_AFTER__PINV_NW450_PW1350_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_7,False,False
REUSABLE_AFTER__PINV_NW450_PW1350_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_9,False,False
REUSABLE_AFTER__PINV_NW450_PW1350_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_10,False,False
REUSABLE_AFTER__PINV_NW450_PW1350_L50__PINV_NW180_PW270_L50_contact_11,False,False
DEBUG_BEFORE__PINV_NW90_PW270_L50__PINV_NW90_PW270_L50,False,False
DEBUG_BEFORE__PINV_NW90_PW270_L50__PINV_NW90_PW270_L50_core,False,False
DEBUG_BEFORE__PINV_NW90_PW270_L50__PINV_NW180_PW270_L50_pmos_m1_w0_270_sm1_dm1_da_p,False,False
DEBUG_BEFORE__PINV_NW90_PW270_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_8,False,False
DEBUG_BEFORE__PINV_NW90_PW270_L50__PINV_NW90_PW270_L50_nmos_m1_w0_090_sm1_dm1_da_p,False,False
DEBUG_BEFORE__PINV_NW90_PW270_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_7,False,False
DEBUG_BEFORE__PINV_NW90_PW270_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_9,False,False
DEBUG_BEFORE__PINV_NW90_PW270_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_10,False,False
DEBUG_BEFORE__PINV_NW90_PW270_L50__PINV_NW180_PW270_L50_contact_11,False,False
REUSABLE_AFTER__PINV_NW90_PW270_L50__PINV_NW90_PW270_L50,False,False
REUSABLE_AFTER__PINV_NW90_PW270_L50__PINV_NW90_PW270_L50_core,False,False
REUSABLE_AFTER__PINV_NW90_PW270_L50__PINV_NW180_PW270_L50_pmos_m1_w0_270_sm1_dm1_da_p,False,False
REUSABLE_AFTER__PINV_NW90_PW270_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_8,False,False
REUSABLE_AFTER__PINV_NW90_PW270_L50__PINV_NW90_PW270_L50_nmos_m1_w0_090_sm1_dm1_da_p,False,False
REUSABLE_AFTER__PINV_NW90_PW270_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_7,False,False
REUSABLE_AFTER__PINV_NW90_PW270_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_9,False,False
REUSABLE_AFTER__PINV_NW90_PW270_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_10,False,False
REUSABLE_AFTER__PINV_NW90_PW270_L50__PINV_NW180_PW270_L50_contact_11,False,False
DEBUG_BEFORE__PINV_NW910_PW2430_L50__PINV_NW910_PW2430_L50,False,False
DEBUG_BEFORE__PINV_NW910_PW2430_L50__PINV_NW910_PW2430_L50_core,False,False
DEBUG_BEFORE__PINV_NW910_PW2430_L50__PINV_NW910_PW2430_L50_pmos_m5_w0_485_sm1_dm1_da_p,False,False
DEBUG_BEFORE__PINV_NW910_PW2430_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_8,False,False
DEBUG_BEFORE__PINV_NW910_PW2430_L50__PINV_NW910_PW2430_L50_nmos_m5_w0_182_sm1_dm1_da_p,False,False
DEBUG_BEFORE__PINV_NW910_PW2430_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_7,False,False
DEBUG_BEFORE__PINV_NW910_PW2430_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_9,False,False
DEBUG_BEFORE__PINV_NW910_PW2430_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_10,False,False
DEBUG_BEFORE__PINV_NW910_PW2430_L50__PINV_NW180_PW270_L50_contact_11,False,False
REUSABLE_AFTER__PINV_NW910_PW2430_L50__PINV_NW910_PW2430_L50,False,False
REUSABLE_AFTER__PINV_NW910_PW2430_L50__PINV_NW910_PW2430_L50_core,False,False
REUSABLE_AFTER__PINV_NW910_PW2430_L50__PINV_NW910_PW2430_L50_pmos_m5_w0_485_sm1_dm1_da_p,False,False
REUSABLE_AFTER__PINV_NW910_PW2430_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_8,False,False
REUSABLE_AFTER__PINV_NW910_PW2430_L50__PINV_NW910_PW2430_L50_nmos_m5_w0_182_sm1_dm1_da_p,False,False
REUSABLE_AFTER__PINV_NW910_PW2430_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_7,False,False
REUSABLE_AFTER__PINV_NW910_PW2430_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_9,False,False
REUSABLE_AFTER__PINV_NW910_PW2430_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_10,False,False
REUSABLE_AFTER__PINV_NW910_PW2430_L50__PINV_NW180_PW270_L50_contact_11,False,False
DEBUG_BEFORE__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50,False,False
DEBUG_BEFORE__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_core,False,False
DEBUG_BEFORE__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_pmos_m1_w0_500_sm1_dm1,False,False
DEBUG_BEFORE__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_8,False,False
DEBUG_BEFORE__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_nmos_m1_w0_250_sm1_dm1,False,False
DEBUG_BEFORE__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_7,False,False
DEBUG_BEFORE__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_9,False,False
DEBUG_BEFORE__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_10,False,False
DEBUG_BEFORE__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_11,False,False
REUSABLE_AFTER__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50,False,False
REUSABLE_AFTER__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_core,False,False
REUSABLE_AFTER__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_pmos_m1_w0_500_sm1_dm1,False,False
REUSABLE_AFTER__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_8,False,False
REUSABLE_AFTER__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_nmos_m1_w0_250_sm1_dm1,False,False
REUSABLE_AFTER__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_7,False,False
REUSABLE_AFTER__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_9,False,False
REUSABLE_AFTER__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_10,False,False
REUSABLE_AFTER__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_11,False,False
