instance,logical_module,physical_module,physical_cell,source_top_cell,gds_path,gds_sha,x,y,orientation,row,col,child_sha_match
data_dff_6,DATA_DFF_BIT,DFF_BUF,C3_POWER_ROW_ABUTMENT_AWARE__data_dff_6__DFF_BUF,DFF_BUF_FPDK45_6058eaf43739_HPA1,outputs/Wave3_DFF_BUF_reusable_release/DFF_BUF_reusable_clean.gds,f80dbdb1b9f5852c90801cdbee823db945a64693f4e4bec53381d533b48d6299,0.0,70.0,R0,10,0,True
data_dff_7,DATA_DFF_BIT,DFF_BUF,C3_POWER_ROW_ABUTMENT_AWARE__data_dff_7__DFF_BUF,DFF_BUF_FPDK45_6058eaf43739_HPA1,outputs/Wave3_DFF_BUF_reusable_release/DFF_BUF_reusable_clean.gds,f80dbdb1b9f5852c90801cdbee823db945a64693f4e4bec53381d533b48d6299,0.0,77.0,R0,11,0,True
data_dff_8,DATA_DFF_BIT,DFF_BUF,C3_POWER_ROW_ABUTMENT_AWARE__data_dff_8__DFF_BUF,DFF_BUF_FPDK45_6058eaf43739_HPA1,outputs/Wave3_DFF_BUF_reusable_release/DFF_BUF_reusable_clean.gds,f80dbdb1b9f5852c90801cdbee823db945a64693f4e4bec53381d533b48d6299,0.0,84.0,R0,12,0,True
data_dff_9,DATA_DFF_BIT,DFF_BUF,C3_POWER_ROW_ABUTMENT_AWARE__data_dff_9__DFF_BUF,DFF_BUF_FPDK45_6058eaf43739_HPA1,outputs/Wave3_DFF_BUF_reusable_release/DFF_BUF_reusable_clean.gds,f80dbdb1b9f5852c90801cdbee823db945a64693f4e4bec53381d533b48d6299,0.0,91.0,R0,13,0,True
data_dff_10,DATA_DFF_BIT,DFF_BUF,C3_POWER_ROW_ABUTMENT_AWARE__data_dff_10__DFF_BUF,DFF_BUF_FPDK45_6058eaf43739_HPA1,outputs/Wave3_DFF_BUF_reusable_release/DFF_BUF_reusable_clean.gds,f80dbdb1b9f5852c90801cdbee823db945a64693f4e4bec53381d533b48d6299,0.0,98.0,R0,14,0,True
data_dff_11,DATA_DFF_BIT,DFF_BUF,C3_POWER_ROW_ABUTMENT_AWARE__data_dff_11__DFF_BUF,DFF_BUF_FPDK45_6058eaf43739_HPA1,outputs/Wave3_DFF_BUF_reusable_release/DFF_BUF_reusable_clean.gds,f80dbdb1b9f5852c90801cdbee823db945a64693f4e4bec53381d533b48d6299,0.0,105.0,R0,15,0,True
data_dff_12,DATA_DFF_BIT,DFF_BUF,C3_POWER_ROW_ABUTMENT_AWARE__data_dff_12__DFF_BUF,DFF_BUF_FPDK45_6058eaf43739_HPA1,outputs/Wave3_DFF_BUF_reusable_release/DFF_BUF_reusable_clean.gds,f80dbdb1b9f5852c90801cdbee823db945a64693f4e4bec53381d533b48d6299,0.0,112.0,R0,16,0,True
data_dff_13,DATA_DFF_BIT,DFF_BUF,C3_POWER_ROW_ABUTMENT_AWARE__data_dff_13__DFF_BUF,DFF_BUF_FPDK45_6058eaf43739_HPA1,outputs/Wave3_DFF_BUF_reusable_release/DFF_BUF_reusable_clean.gds,f80dbdb1b9f5852c90801cdbee823db945a64693f4e4bec53381d533b48d6299,0.0,119.0,R0,17,0,True
data_dff_14,DATA_DFF_BIT,DFF_BUF,C3_POWER_ROW_ABUTMENT_AWARE__data_dff_14__DFF_BUF,DFF_BUF_FPDK45_6058eaf43739_HPA1,outputs/Wave3_DFF_BUF_reusable_release/DFF_BUF_reusable_clean.gds,f80dbdb1b9f5852c90801cdbee823db945a64693f4e4bec53381d533b48d6299,0.0,126.0,R0,18,0,True
data_dff_15,DATA_DFF_BIT,DFF_BUF,C3_POWER_ROW_ABUTMENT_AWARE__data_dff_15__DFF_BUF,DFF_BUF_FPDK45_6058eaf43739_HPA1,outputs/Wave3_DFF_BUF_reusable_release/DFF_BUF_reusable_clean.gds,f80dbdb1b9f5852c90801cdbee823db945a64693f4e4bec53381d533b48d6299,0.0,133.0,R0,19,0,True
clkbuf,pdrive,pdrive,C3_POWER_ROW_ABUTMENT_AWARE__clkbuf__pdrive,PDRIVE_FPDK45,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/TeamB_inverter_chain_reference_demo/current_supported_config/pdrive/clean.gds,8730aa39f7408275da09bc1b21ab2da4bdfd6d04839a401023ccf33cab61987f,84.0,0.0,R0,0,3,True
inv_clk_bar,PINV,PINV,C3_POWER_ROW_ABUTMENT_AWARE__inv_clk_bar__PINV,PINV_NW90_PW270_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW90_PW270_L50/PINV_NW90_PW270_L50.gds,68f75773e2869548ab559556d5eee2764f836a41ccd2bceb29bc3633360891a2,0.0,140.0,R0,20,0,True
dff_buf,DFF_BUF,DFF_BUF,C3_POWER_ROW_ABUTMENT_AWARE__dff_buf__DFF_BUF,DFF_BUF_FPDK45_6058eaf43739_HPA1,outputs/Wave3_DFF_BUF_reusable_release/DFF_BUF_reusable_clean.gds,f80dbdb1b9f5852c90801cdbee823db945a64693f4e4bec53381d533b48d6299,0.0,147.0,R0,21,0,True
dff_buf1,DFF_BUF,DFF_BUF,C3_POWER_ROW_ABUTMENT_AWARE__dff_buf1__DFF_BUF,DFF_BUF_FPDK45_6058eaf43739_HPA1,outputs/Wave3_DFF_BUF_reusable_release/DFF_BUF_reusable_clean.gds,f80dbdb1b9f5852c90801cdbee823db945a64693f4e4bec53381d533b48d6299,0.0,154.0,R0,22,0,True
and2_gated_clk_bar,AND2,AND2,C3_POWER_ROW_ABUTMENT_AWARE__and2_gated_clk_bar__AND2,AND2_PNAND2_PINV_FPDK45,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/TeamB_and_gate_abutment_optimization/baseline/AND2/clean.gds,7e9aa9280495c4cca9e625d57b00fb9e93597b418aabd17e4e9e132c65c96578,28.0,0.0,R0,0,1,True
and2_gated_clk_buf,AND2,AND2,C3_POWER_ROW_ABUTMENT_AWARE__and2_gated_clk_buf__AND2,AND2_PNAND2_PINV_FPDK45,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/TeamB_and_gate_abutment_optimization/baseline/AND2/clean.gds,7e9aa9280495c4cca9e625d57b00fb9e93597b418aabd17e4e9e132c65c96578,28.0,7.0,R0,1,1,True
wl_en,wl_pdrive,wl_pdrive,C3_POWER_ROW_ABUTMENT_AWARE__wl_en__wl_pdrive,WL_PDRIVE_FPDK45,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/TeamB_inverter_chain_reference_demo/current_supported_config/wl_pdrive/clean.gds,d84ff45f181d56d08fdf606ec4129ab03b384161242d1e3cffbc9184da97a1de,84.0,7.0,R0,1,3,True
inv_wl_en_bar,PINV,PINV,C3_POWER_ROW_ABUTMENT_AWARE__inv_wl_en_bar__PINV,PINV_NW90_PW270_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW90_PW270_L50/PINV_NW90_PW270_L50.gds,68f75773e2869548ab559556d5eee2764f836a41ccd2bceb29bc3633360891a2,0.0,161.0,R0,23,0,True
delaychain,delay_chain,delay_chain,C3_POWER_ROW_ABUTMENT_AWARE__delaychain__delay_chain,DELAY_CHAIN_FPDK45,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/TeamB_delay_chain_reference_demo/current_supported_config/delay_chain/clean.gds,db541ec8db03f4ccc12b266c5bf36feaab0d8d45baab03f2f7e60ca1c81668c7,112.0,0.0,R0,0,4,True
inv_rbl_delay_bar,PINV,PINV,C3_POWER_ROW_ABUTMENT_AWARE__inv_rbl_delay_bar__PINV,PINV_NW90_PW270_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW90_PW270_L50/PINV_NW90_PW270_L50.gds,68f75773e2869548ab559556d5eee2764f836a41ccd2bceb29bc3633360891a2,0.0,168.0,R0,24,0,True
w_en,AND3,AND3,C3_POWER_ROW_ABUTMENT_AWARE__w_en__AND3,AND3_PNAND3_PINV_FPDK45,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/TeamB_and_gate_abutment_optimization/baseline/AND3/clean.gds,474463ec0fb80356932459af2919b8e0e151cb4e4eb662fc621aa5a415c9d2ef,28.0,14.0,R0,2,1,True
s_en,AND3,AND3,C3_POWER_ROW_ABUTMENT_AWARE__s_en__AND3,AND3_PNAND3_PINV_FPDK45,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/TeamB_and_gate_abutment_optimization/baseline/AND3/clean.gds,474463ec0fb80356932459af2919b8e0e151cb4e4eb662fc621aa5a415c9d2ef,28.0,21.0,R0,3,1,True
pre_unbuf,PNAND3,PNAND3,C3_POWER_ROW_ABUTMENT_AWARE__pre_unbuf__PNAND3,PNAND3_NW180_PW270_L50_FPDK45,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/TeamB_remaining9_reference_demo/current_supported_config/PNAND3/clean.gds,a49c4572a9451ee180ba907e56d912fad9e58577a66a0a3687a4df4af7acba7f,56.0,0.0,R0,0,2,True
pre,pdrive2_for_pre,pdrive2_for_pre,C3_POWER_ROW_ABUTMENT_AWARE__pre__pdrive2_for_pre,PDRIVE2_FOR_PRE_FPDK45,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/TeamB_inverter_chain_reference_demo/current_supported_config/pdrive2_for_pre/clean.gds,1d075da2d815e70177372f64e771cf7f453d681e4e12b7e6a7406fd1c2252d44,84.0,14.0,R0,2,3,True
