instance,cell,orientation,endpoint_net,endpoint_layer,endpoint_bbox,top_component_id,witness_path_shape_count,witness_path_via_count,passed,endpoint_component_id,witness_path_shape_ids
upper_enable_stage/and2_en_3,AND2,R0,VDD,m1,"{""by"": 10.0425, ""layer"": ""m1"", ""lx"": 53.02, ""rx"": 54.72, ""uy"": 10.1075}",via5_513,29,10,True,via5_513,"[""m1_1587"", ""m1_1590"", ""via1_1591"", ""m2_1592"", ""via1_1586"", ""m1_1585"", ""m1_1582"", ""m1_1523"", ""via1_8"", ""m2_10"", ""via2_14"", ""m3_15"", ""via3_16"", ""m4_17"", ""via4_18"", ""m5_19"", ""via5_20"", ""m6_34"", ""via5_31"", ""m5_30"", ""via4_29"", ""m4_28"", ""via3_27"", ""m3_26"", ""via2_25"", ""m2_24"", ""via1_23"", ""m1_33"", ""m1_4""]"
upper_enable_stage/and2_en_3,AND2,R0,VSS,m1,"{""by"": 8.2225, ""layer"": ""m1"", ""lx"": 53.02, ""rx"": 54.72, ""uy"": 8.2875}",via5_1035,27,10,True,via5_1035,"[""m1_1598"", ""m1_1601"", ""via1_1602"", ""m2_1603"", ""via1_1597"", ""m1_1596"", ""via1_530"", ""m2_532"", ""via2_536"", ""m3_1560"", ""via3_538"", ""m4_539"", ""via4_540"", ""m5_541"", ""via5_542"", ""m6_556"", ""via5_553"", ""m5_552"", ""via4_551"", ""m4_550"", ""via3_549"", ""m3_548"", ""via2_547"", ""m2_546"", ""via1_545"", ""m1_555"", ""m1_5""]"
upper_enable_stage/and3_pre_5,AND3,R0,VDD,m1,"{""by"": 10.0425, ""layer"": ""m1"", ""lx"": 54.83, ""rx"": 56.875, ""uy"": 10.1075}",via5_513,29,10,True,via5_513,"[""m1_1587"", ""m1_1590"", ""via1_1591"", ""m2_1592"", ""via1_1586"", ""m1_1585"", ""m1_1582"", ""m1_1523"", ""via1_8"", ""m2_10"", ""via2_14"", ""m3_15"", ""via3_16"", ""m4_17"", ""via4_18"", ""m5_19"", ""via5_20"", ""m6_34"", ""via5_31"", ""m5_30"", ""via4_29"", ""m4_28"", ""via3_27"", ""m3_26"", ""via2_25"", ""m2_24"", ""via1_23"", ""m1_33"", ""m1_4""]"
upper_enable_stage/and3_pre_5,AND3,R0,VSS,m1,"{""by"": 8.2225, ""layer"": ""m1"", ""lx"": 54.83, ""rx"": 56.875, ""uy"": 8.2875}",via5_1035,27,10,True,via5_1035,"[""m1_1598"", ""m1_1601"", ""via1_1602"", ""m2_1603"", ""via1_1597"", ""m1_1596"", ""via1_530"", ""m2_532"", ""via2_536"", ""m3_1560"", ""via3_538"", ""m4_539"", ""via4_540"", ""m5_541"", ""via5_542"", ""m6_556"", ""via5_553"", ""m5_552"", ""via4_551"", ""m4_550"", ""via3_549"", ""m3_548"", ""via2_547"", ""m2_546"", ""via1_545"", ""m1_555"", ""m1_5""]"
upper_enable_stage/and2_en_5,AND2,R0,VDD,m1,"{""by"": 10.0425, ""layer"": ""m1"", ""lx"": 56.985, ""rx"": 58.685, ""uy"": 10.1075}",via5_513,29,10,True,via5_513,"[""m1_1587"", ""m1_1590"", ""via1_1591"", ""m2_1592"", ""via1_1586"", ""m1_1585"", ""m1_1582"", ""m1_1523"", ""via1_8"", ""m2_10"", ""via2_14"", ""m3_15"", ""via3_16"", ""m4_17"", ""via4_18"", ""m5_19"", ""via5_20"", ""m6_34"", ""via5_31"", ""m5_30"", ""via4_29"", ""m4_28"", ""via3_27"", ""m3_26"", ""via2_25"", ""m2_24"", ""via1_23"", ""m1_33"", ""m1_4""]"
upper_enable_stage/and2_en_5,AND2,R0,VSS,m1,"{""by"": 8.2225, ""layer"": ""m1"", ""lx"": 56.985, ""rx"": 58.685, ""uy"": 8.2875}",via5_1035,27,10,True,via5_1035,"[""m1_1598"", ""m1_1601"", ""via1_1602"", ""m2_1603"", ""via1_1597"", ""m1_1596"", ""via1_530"", ""m2_532"", ""via2_536"", ""m3_1560"", ""via3_538"", ""m4_539"", ""via4_540"", ""m5_541"", ""via5_542"", ""m6_556"", ""via5_553"", ""m5_552"", ""via4_551"", ""m4_550"", ""via3_549"", ""m3_548"", ""via2_547"", ""m2_546"", ""via1_545"", ""m1_555"", ""m1_5""]"
upper_enable_stage/and3_pre_7,AND3,R0,VDD,m1,"{""by"": 10.0425, ""layer"": ""m1"", ""lx"": 58.795, ""rx"": 60.84, ""uy"": 10.1075}",via5_513,29,10,True,via5_513,"[""m1_1587"", ""m1_1590"", ""via1_1591"", ""m2_1592"", ""via1_1586"", ""m1_1585"", ""m1_1582"", ""m1_1523"", ""via1_8"", ""m2_10"", ""via2_14"", ""m3_15"", ""via3_16"", ""m4_17"", ""via4_18"", ""m5_19"", ""via5_20"", ""m6_34"", ""via5_31"", ""m5_30"", ""via4_29"", ""m4_28"", ""via3_27"", ""m3_26"", ""via2_25"", ""m2_24"", ""via1_23"", ""m1_33"", ""m1_4""]"
upper_enable_stage/and3_pre_7,AND3,R0,VSS,m1,"{""by"": 8.2225, ""layer"": ""m1"", ""lx"": 58.795, ""rx"": 60.84, ""uy"": 8.2875}",via5_1035,27,10,True,via5_1035,"[""m1_1598"", ""m1_1601"", ""via1_1602"", ""m2_1603"", ""via1_1597"", ""m1_1596"", ""via1_530"", ""m2_532"", ""via2_536"", ""m3_1560"", ""via3_538"", ""m4_539"", ""via4_540"", ""m5_541"", ""via5_542"", ""m6_556"", ""via5_553"", ""m5_552"", ""via4_551"", ""m4_550"", ""via3_549"", ""m3_548"", ""via2_547"", ""m2_546"", ""via1_545"", ""m1_555"", ""m1_5""]"
upper_enable_stage/and2_en_7,AND2,R0,VDD,m1,"{""by"": 10.0425, ""layer"": ""m1"", ""lx"": 60.95, ""rx"": 62.65, ""uy"": 10.1075}",via5_513,29,10,True,via5_513,"[""m1_1587"", ""m1_1590"", ""via1_1591"", ""m2_1592"", ""via1_1586"", ""m1_1585"", ""m1_1582"", ""m1_1523"", ""via1_8"", ""m2_10"", ""via2_14"", ""m3_15"", ""via3_16"", ""m4_17"", ""via4_18"", ""m5_19"", ""via5_20"", ""m6_34"", ""via5_31"", ""m5_30"", ""via4_29"", ""m4_28"", ""via3_27"", ""m3_26"", ""via2_25"", ""m2_24"", ""via1_23"", ""m1_33"", ""m1_4""]"
upper_enable_stage/and2_en_7,AND2,R0,VSS,m1,"{""by"": 8.2225, ""layer"": ""m1"", ""lx"": 60.95, ""rx"": 62.65, ""uy"": 8.2875}",via5_1035,27,10,True,via5_1035,"[""m1_1598"", ""m1_1601"", ""via1_1602"", ""m2_1603"", ""via1_1597"", ""m1_1596"", ""via1_530"", ""m2_532"", ""via2_536"", ""m3_1560"", ""via3_538"", ""m4_539"", ""via4_540"", ""m5_541"", ""via5_542"", ""m6_556"", ""via5_553"", ""m5_552"", ""via4_551"", ""m4_550"", ""via3_549"", ""m3_548"", ""via2_547"", ""m2_546"", ""via1_545"", ""m1_555"", ""m1_5""]"
