candidate_id,relative_path,size_bytes,top_cell,cell_count,sref_count,boundary_count,bbox,contains_complete_sram_top,candidate_score,mux_present,power_rail_overlap_positive_count,rail_stitch_visible,selection_reasons,selected_as_golden
GDS_065,full_layout_collection/sram_32x16_wpr1/sram_32x16_wpr1_fd45.route_guides.gds,473194,sram_32x16_wpr1_fd45,33,879,6643,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 39.2225, ""y1"": 52.755, ""width"": 39.3225, ""height"": 52.86, ""shape_count"": 6643}",True,34,True,,UNKNOWN,filename contains final/full/top; filename contains sram; non-golden export class: route_guides; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
GDS_066,full_layout_collection/sram_32x32_wpr1/sram_32x32_wpr1_fd45.architecture.gds,444930,sram_32x32_wpr1_fd45,33,1473,5854,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 39.2225, ""y1"": 74.595, ""width"": 39.3225, ""height"": 74.7, ""shape_count"": 5854}",True,34,True,,UNKNOWN,filename contains final/full/top; filename contains sram; non-golden export class: architecture; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
GDS_067,full_layout_collection/sram_32x32_wpr1/sram_32x32_wpr1_fd45.complete.gds,567870,sram_32x32_wpr1_fd45,33,1473,7790,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 39.2225, ""y1"": 74.595, ""width"": 39.3225, ""height"": 74.7, ""shape_count"": 7790}",True,134,True,62,True,filename contains complete; filename contains final/full/top; filename contains sram; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
GDS_068,full_layout_collection/sram_32x32_wpr1/sram_32x32_wpr1_fd45.debug.gds,573442,sram_32x32_wpr1_fd45,33,1473,7862,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 39.2225, ""y1"": 74.595, ""width"": 39.3225, ""height"": 74.7, ""shape_count"": 7862}",True,34,True,62,True,filename contains final/full/top; filename contains sram; non-golden export class: debug; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
GDS_069,full_layout_collection/sram_32x32_wpr1/sram_32x32_wpr1_fd45.gds,439358,sram_32x32_wpr1_fd45,33,1473,5782,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 39.2225, ""y1"": 74.595, ""width"": 39.3225, ""height"": 74.7, ""shape_count"": 5782}",True,94,True,62,True,filename contains final/full/top; filename contains sram; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
GDS_070,full_layout_collection/sram_32x32_wpr1/sram_32x32_wpr1_fd45.integration.gds,233620,sram_32x32_wpr1_fd45,1,0,3598,"{""x0"": 0.0, ""y0"": 0.0, ""x1"": 39.2225, ""y1"": 74.595, ""width"": 39.2225, ""height"": 74.595, ""shape_count"": 3598}",True,-5,False,,UNKNOWN,filename contains final/full/top; filename contains sram; non-golden export class: integration; top cell looks like SRAM top,False
GDS_071,full_layout_collection/sram_32x32_wpr1/sram_32x32_wpr1_fd45.presentation.gds,429708,sram_32x32_wpr1_fd45,33,1473,5782,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 39.2225, ""y1"": 74.595, ""width"": 39.3225, ""height"": 74.7, ""shape_count"": 5782}",True,34,True,,UNKNOWN,filename contains final/full/top; filename contains sram; non-golden export class: presentation; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
GDS_072,full_layout_collection/sram_32x32_wpr1/sram_32x32_wpr1_fd45.route_guides.gds,567870,sram_32x32_wpr1_fd45,33,1473,7790,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 39.2225, ""y1"": 74.595, ""width"": 39.3225, ""height"": 74.7, ""shape_count"": 7790}",True,34,True,,UNKNOWN,filename contains final/full/top; filename contains sram; non-golden export class: route_guides; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
GDS_073,full_layout_collection/sram_4x32_wpr1/sram_4x32_wpr1_fd45.architecture.gds,345486,sram_4x32_wpr1_fd45,33,409,4923,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 16.5725, ""y1"": 74.595, ""width"": 16.672500000000003, ""height"": 74.7, ""shape_count"": 4923}",True,34,True,,UNKNOWN,filename contains final/full/top; filename contains sram; non-golden export class: architecture; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
GDS_074,full_layout_collection/sram_4x32_wpr1/sram_4x32_wpr1_fd45.complete.gds,381066,sram_4x32_wpr1_fd45,33,409,5494,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 16.5725, ""y1"": 74.595, ""width"": 16.672500000000003, ""height"": 74.7, ""shape_count"": 5494}",True,134,True,62,True,filename contains complete; filename contains final/full/top; filename contains sram; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
