file_id,relative_path,file_type,extension,size_bytes
ZIP_0172,full_layout_collection/sram_16x32_wpr2/sram_16x32_wpr2_fd45.before_floorplan.svg,image,.svg,5761
ZIP_0173,full_layout_collection/sram_16x32_wpr2/sram_16x32_wpr2_fd45.complete.gds,gds,.gds,420690
ZIP_0174,full_layout_collection/sram_16x32_wpr2/sram_16x32_wpr2_fd45.debug.gds,gds,.gds,426262
ZIP_0175,full_layout_collection/sram_16x32_wpr2/sram_16x32_wpr2_fd45.gds,gds,.gds,333650
ZIP_0176,full_layout_collection/sram_16x32_wpr2/sram_16x32_wpr2_fd45.integration.gds,gds,.gds,151124
ZIP_0177,full_layout_collection/sram_16x32_wpr2/sram_16x32_wpr2_fd45.layout.json,json,.json,1381518
ZIP_0178,full_layout_collection/sram_16x32_wpr2/sram_16x32_wpr2_fd45.lef,design_artifact,.lef,6987
ZIP_0179,full_layout_collection/sram_16x32_wpr2/sram_16x32_wpr2_fd45.left_side_compound_whitespace.svg,image,.svg,5774
ZIP_0180,full_layout_collection/sram_16x32_wpr2/sram_16x32_wpr2_fd45.moved_module_arrows.svg,image,.svg,6487
ZIP_0181,full_layout_collection/sram_16x32_wpr2/sram_16x32_wpr2_fd45.occupancy.svg,image,.svg,6015
ZIP_0182,full_layout_collection/sram_16x32_wpr2/sram_16x32_wpr2_fd45.presentation.gds,gds,.gds,325408
ZIP_0183,full_layout_collection/sram_16x32_wpr2/sram_16x32_wpr2_fd45.report.json,json,.json,1480304
ZIP_0184,full_layout_collection/sram_16x32_wpr2/sram_16x32_wpr2_fd45.report.md,text_report,.md,51795
ZIP_0185,full_layout_collection/sram_16x32_wpr2/sram_16x32_wpr2_fd45.route_guides.gds,gds,.gds,420690
ZIP_0186,full_layout_collection/sram_16x32_wpr2/sram_16x32_wpr2_fd45.sp,design_artifact,.sp,42741
ZIP_0187,full_layout_collection/sram_16x32_wpr2/sram_16x32_wpr2_fd45.two_zone_repacking.svg,image,.svg,6486
ZIP_0188,full_layout_collection/sram_2x16_wpr1/.run.log,text_report,.log,2012186
ZIP_0189,full_layout_collection/sram_2x16_wpr1/sram_2x16_wpr1_fd45.accepted_rejected_candidates.svg,image,.svg,8013
ZIP_0190,full_layout_collection/sram_2x16_wpr1/sram_2x16_wpr1_fd45.after_floorplan.svg,image,.svg,6986
ZIP_0191,full_layout_collection/sram_2x16_wpr1/sram_2x16_wpr1_fd45.architecture.gds,gds,.gds,266942
ZIP_0192,full_layout_collection/sram_2x16_wpr1/sram_2x16_wpr1_fd45.architecture.svg,image,.svg,2141
ZIP_0193,full_layout_collection/sram_2x16_wpr1/sram_2x16_wpr1_fd45.before_floorplan.svg,image,.svg,6987
ZIP_0194,full_layout_collection/sram_2x16_wpr1/sram_2x16_wpr1_fd45.complete.gds,gds,.gds,289850
ZIP_0195,full_layout_collection/sram_2x16_wpr1/sram_2x16_wpr1_fd45.debug.gds,gds,.gds,295422
ZIP_0196,full_layout_collection/sram_2x16_wpr1/sram_2x16_wpr1_fd45.gds,gds,.gds,261370
ZIP_0197,full_layout_collection/sram_2x16_wpr1/sram_2x16_wpr1_fd45.integration.gds,gds,.gds,100136
ZIP_0198,full_layout_collection/sram_2x16_wpr1/sram_2x16_wpr1_fd45.layout.json,json,.json,849742
ZIP_0199,full_layout_collection/sram_2x16_wpr1/sram_2x16_wpr1_fd45.lef,design_artifact,.lef,2567
ZIP_0200,full_layout_collection/sram_2x16_wpr1/sram_2x16_wpr1_fd45.left_side_compound_whitespace.svg,image,.svg,7000
ZIP_0201,full_layout_collection/sram_2x16_wpr1/sram_2x16_wpr1_fd45.moved_module_arrows.svg,image,.svg,7353
ZIP_0202,full_layout_collection/sram_2x16_wpr1/sram_2x16_wpr1_fd45.occupancy.svg,image,.svg,6465
ZIP_0203,full_layout_collection/sram_2x16_wpr1/sram_2x16_wpr1_fd45.presentation.gds,gds,.gds,254388
ZIP_0204,full_layout_collection/sram_2x16_wpr1/sram_2x16_wpr1_fd45.report.json,json,.json,1006092
ZIP_0205,full_layout_collection/sram_2x16_wpr1/sram_2x16_wpr1_fd45.report.md,text_report,.md,49311
ZIP_0206,full_layout_collection/sram_2x16_wpr1/sram_2x16_wpr1_fd45.route_guides.gds,gds,.gds,289850
