candidate_id,file_id,relative_path,category,is_key_entrypoint,is_config_file,matched_keywords,matched_keyword_count,capacity_keyword_count,variation_keyword_count,size_bytes,line_count
M11CFG0088,OYF0099,sram_compiler/testbenches/yaml_change.py,SOURCE_FILE,False,False,cols;data;num_cols;num_rows;parameter;rows;sram;testbench;yaml,9,4,2,3820,135
M11CFG0089,OYF0105,utils.py,SOURCE_FILE,False,False,array;bit;cols;config;data;netlist;num_cols;num_rows;num_words;parameter;rows;sample;size;sram;word_size,15,7,3,31766,931
M11CFG0090,OYF0106,yield_estimation/README.md,DOCUMENTATION,False,False,array;parameter;sample;sram;testbench,5,1,1,2922,67
M11CFG0091,OYF0112,yield_estimation/demo_6tstamTestbench.py,OPTIMIZATION_OR_DEMO,False,False,testbench,1,0,0,0,0
M11CFG0092,OYF0113,yield_estimation/model_lib/ACS.py,SOURCE_FILE,False,False,array;data;sample;size;sram;testbench,6,1,1,13308,273
M11CFG0093,OYF0114,yield_estimation/model_lib/AIS.py,SOURCE_FILE,False,False,array;data;parameter;sample;size;sram;testbench,7,1,1,15395,317
M11CFG0094,OYF0115,yield_estimation/model_lib/HSCS.py,SOURCE_FILE,False,False,array;cols;data;num_cols;num_rows;rows;sample;size;sram;testbench,10,5,3,18975,412
M11CFG0095,OYF0116,yield_estimation/model_lib/MC.py,SOURCE_FILE,False,False,benchmark;data;sample;size;testbench,5,0,0,7317,158
M11CFG0096,OYF0117,yield_estimation/model_lib/MNIS.py,SOURCE_FILE,False,False,data;sample;size;sram;testbench,5,0,0,9923,206
M11CFG0097,OYF0120,yield_estimation/tool/Distribution/gmm_v1.py,SOURCE_FILE,False,False,data;parameter;sample;size,4,0,0,25472,622
M11CFG0098,OYF0121,yield_estimation/tool/Distribution/gmm_v2.py,SOURCE_FILE,False,False,data;parameter;sample;size,4,0,0,22015,595
M11CFG0099,OYF0122,yield_estimation/tool/Distribution/guassian_distribution.py,SOURCE_FILE,False,False,array;data;sample;size,4,1,1,28324,598
M11CFG0100,OYF0123,yield_estimation/tool/Distribution/multi_cone_cluster.py,SOURCE_FILE,False,False,size,1,0,0,1328,39
M11CFG0101,OYF0124,yield_estimation/tool/Distribution/normal_v1.py,SOURCE_FILE,False,False,sample;size,2,0,0,1220,43
M11CFG0102,OYF0125,yield_estimation/tool/Distribution/utils.py,SOURCE_FILE,False,False,sample,1,0,0,1261,42
M11CFG0103,OYF0128,yield_estimation/tool/util.py,SOURCE_FILE,False,False,array;benchmark;data,3,1,1,4514,110
M11CFG0104,OYF0129,电路算法说明文档.md,DOCUMENTATION,False,False,array;bit;capacity;cols;config;num_cols;num_rows;parameter;rows;size;sram;yaml,12,6,4,9369,234
M11CFG0105,OYF0130,等效电路说明文档.md,DOCUMENTATION,False,False,array;cols;config;parameter;rows;size;sram;testbench,8,3,3,8687,179
