logical_net,route_group,physical_component,status,route_length
BR[10]__sense,BLBR,BR[10]__sense,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.535
BR[10]__write,BLBR,BR[10]__write,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.47
BL[11]__precharge,BLBR,BL[11]__precharge,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.8425
BL[11]__sense,BLBR,BL[11]__sense,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.7575
BL[11]__write,BLBR,BL[11]__write,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.6925
BR[11]__precharge,BLBR,BR[11]__precharge,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.74
BR[11]__sense,BLBR,BR[11]__sense,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.75
BR[11]__write,BLBR,BR[11]__write,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.685
BL[12]__precharge,BLBR,BL[12]__precharge,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.6275
BL[12]__sense,BLBR,BL[12]__sense,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.5425
BL[12]__write,BLBR,BL[12]__write,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.4775
BR[12]__precharge,BLBR,BR[12]__precharge,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.525
BR[12]__sense,BLBR,BR[12]__sense,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.535
BR[12]__write,BLBR,BR[12]__write,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.47
BL[13]__precharge,BLBR,BL[13]__precharge,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.8425
BL[13]__sense,BLBR,BL[13]__sense,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.7575
BL[13]__write,BLBR,BL[13]__write,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.6925
BR[13]__precharge,BLBR,BR[13]__precharge,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.74
BR[13]__sense,BLBR,BR[13]__sense,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.75
BR[13]__write,BLBR,BR[13]__write,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.685
BL[14]__precharge,BLBR,BL[14]__precharge,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.6275
BL[14]__sense,BLBR,BL[14]__sense,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.5425
BL[14]__write,BLBR,BL[14]__write,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.4775
BR[14]__precharge,BLBR,BR[14]__precharge,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.525
BR[14]__sense,BLBR,BR[14]__sense,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.535
BR[14]__write,BLBR,BR[14]__write,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.47
BL[15]__precharge,BLBR,BL[15]__precharge,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.8425
BL[15]__sense,BLBR,BL[15]__sense,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.7575
BL[15]__write,BLBR,BL[15]__write,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.6925
BR[15]__precharge,BLBR,BR[15]__precharge,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.74
BR[15]__sense,BLBR,BR[15]__sense,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.75
BR[15]__write,BLBR,BR[15]__write,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.685
WL[0],WL,WL[0],CONNECTED_BY_TOP_ROUTE_GEOMETRY,4.84
WL_DEC[0],DECODER_TO_WL_DRIVER,WL_DEC[0],CONNECTED_BY_TOP_ROUTE_GEOMETRY,3.36
WL[1],WL,WL[1],CONNECTED_BY_TOP_ROUTE_GEOMETRY,1.94
WL_DEC[1],DECODER_TO_WL_DRIVER,WL_DEC[1],CONNECTED_BY_TOP_ROUTE_GEOMETRY,6.26
WL[2],WL,WL[2],CONNECTED_BY_TOP_ROUTE_GEOMETRY,4.84
WL_DEC[2],DECODER_TO_WL_DRIVER,WL_DEC[2],CONNECTED_BY_TOP_ROUTE_GEOMETRY,3.36
WL[3],WL,WL[3],CONNECTED_BY_TOP_ROUTE_GEOMETRY,1.94
WL_DEC[3],DECODER_TO_WL_DRIVER,WL_DEC[3],CONNECTED_BY_TOP_ROUTE_GEOMETRY,6.26
WL[4],WL,WL[4],CONNECTED_BY_TOP_ROUTE_GEOMETRY,4.84
WL_DEC[4],DECODER_TO_WL_DRIVER,WL_DEC[4],CONNECTED_BY_TOP_ROUTE_GEOMETRY,3.36
WL[5],WL,WL[5],CONNECTED_BY_TOP_ROUTE_GEOMETRY,1.94
WL_DEC[5],DECODER_TO_WL_DRIVER,WL_DEC[5],CONNECTED_BY_TOP_ROUTE_GEOMETRY,6.26
WL[6],WL,WL[6],CONNECTED_BY_TOP_ROUTE_GEOMETRY,4.84
WL_DEC[6],DECODER_TO_WL_DRIVER,WL_DEC[6],CONNECTED_BY_TOP_ROUTE_GEOMETRY,3.36
