instance,cell,orientation,endpoint_net,endpoint_layer,endpoint_bbox,top_component_id,witness_path_shape_count,witness_path_via_count,passed,endpoint_component_id,witness_path_shape_ids
lower_wordline_stage_0/and2_en_4,AND2,R0,VSS,m1,"{""by"": 8.435, ""layer"": ""m1"", ""lx"": 35.3775, ""rx"": 37.0775, ""uy"": 8.5}",via2_954,20,8,True,via2_954,"[""m1_4972"", ""m1_935"", ""via1_937"", ""m2_938"", ""via2_941"", ""m3_933"", ""via2_932"", ""m2_929"", ""via1_928"", ""m1_926"", ""m1_966"", ""m1_234"", ""via1_223"", ""m2_224"", ""via2_226"", ""m3_228"", ""via2_230"", ""m2_231"", ""via1_233"", ""m1_5""]"
lower_wordline_stage_0/and3_pre_6,AND3,R0,VDD,m1,"{""by"": 10.255, ""layer"": ""m1"", ""lx"": 37.1875, ""rx"": 39.2325, ""uy"": 10.32}",via2_924,19,8,True,via2_924,"[""m1_4961"", ""m1_905"", ""via1_907"", ""m2_908"", ""via2_911"", ""m3_903"", ""via2_902"", ""m2_899"", ""via1_898"", ""m1_896"", ""m1_955"", ""via1_7"", ""m2_9"", ""via2_10"", ""m3_12"", ""via2_14"", ""m2_15"", ""via1_17"", ""m1_4""]"
lower_wordline_stage_0/and3_pre_6,AND3,R0,VSS,m1,"{""by"": 8.435, ""layer"": ""m1"", ""lx"": 37.1875, ""rx"": 39.2325, ""uy"": 8.5}",via2_954,20,8,True,via2_954,"[""m1_4972"", ""m1_935"", ""via1_937"", ""m2_938"", ""via2_941"", ""m3_933"", ""via2_932"", ""m2_929"", ""via1_928"", ""m1_926"", ""m1_966"", ""m1_234"", ""via1_223"", ""m2_224"", ""via2_226"", ""m3_228"", ""via2_230"", ""m2_231"", ""via1_233"", ""m1_5""]"
lower_wordline_stage_0/and2_en_6,AND2,R0,VDD,m1,"{""by"": 10.255, ""layer"": ""m1"", ""lx"": 39.3425, ""rx"": 41.0425, ""uy"": 10.32}",via2_924,19,8,True,via2_924,"[""m1_4961"", ""m1_905"", ""via1_907"", ""m2_908"", ""via2_911"", ""m3_903"", ""via2_902"", ""m2_899"", ""via1_898"", ""m1_896"", ""m1_955"", ""via1_7"", ""m2_9"", ""via2_10"", ""m3_12"", ""via2_14"", ""m2_15"", ""via1_17"", ""m1_4""]"
lower_wordline_stage_0/and2_en_6,AND2,R0,VSS,m1,"{""by"": 8.435, ""layer"": ""m1"", ""lx"": 39.3425, ""rx"": 41.0425, ""uy"": 8.5}",via2_954,20,8,True,via2_954,"[""m1_4972"", ""m1_935"", ""via1_937"", ""m2_938"", ""via2_941"", ""m3_933"", ""via2_932"", ""m2_929"", ""via1_928"", ""m1_926"", ""m1_966"", ""m1_234"", ""via1_223"", ""m2_224"", ""via2_226"", ""m3_228"", ""via2_230"", ""m2_231"", ""via1_233"", ""m1_5""]"
lower_wordline_stage_0/and3_pre_1,AND3,R0,VDD,m1,"{""by"": 14.2425, ""layer"": ""m1"", ""lx"": 22.9, ""rx"": 24.945, ""uy"": 14.3075}",via2_924,23,10,True,via2_924,"[""m1_4966"", ""m1_4969"", ""via1_4970"", ""m2_4971"", ""via1_4965"", ""m1_905"", ""via1_907"", ""m2_908"", ""via2_911"", ""m3_903"", ""via2_902"", ""m2_899"", ""via1_898"", ""m1_896"", ""m1_955"", ""via1_7"", ""m2_9"", ""via2_10"", ""m3_12"", ""via2_14"", ""m2_15"", ""via1_17"", ""m1_4""]"
lower_wordline_stage_0/and3_pre_1,AND3,R0,VSS,m1,"{""by"": 12.4225, ""layer"": ""m1"", ""lx"": 22.9, ""rx"": 24.945, ""uy"": 12.4875}",via2_954,24,10,True,via2_954,"[""m1_4977"", ""m1_4980"", ""via1_4981"", ""m2_4982"", ""via1_4976"", ""m1_935"", ""via1_937"", ""m2_938"", ""via2_941"", ""m3_933"", ""via2_932"", ""m2_929"", ""via1_928"", ""m1_926"", ""m1_966"", ""m1_234"", ""via1_223"", ""m2_224"", ""via2_226"", ""m3_228"", ""via2_230"", ""m2_231"", ""via1_233"", ""m1_5""]"
lower_wordline_stage_0/and2_en_1,AND2,R0,VDD,m1,"{""by"": 14.2425, ""layer"": ""m1"", ""lx"": 25.055, ""rx"": 26.755, ""uy"": 14.3075}",via2_924,23,10,True,via2_924,"[""m1_4966"", ""m1_4969"", ""via1_4970"", ""m2_4971"", ""via1_4965"", ""m1_905"", ""via1_907"", ""m2_908"", ""via2_911"", ""m3_903"", ""via2_902"", ""m2_899"", ""via1_898"", ""m1_896"", ""m1_955"", ""via1_7"", ""m2_9"", ""via2_10"", ""m3_12"", ""via2_14"", ""m2_15"", ""via1_17"", ""m1_4""]"
lower_wordline_stage_0/and2_en_1,AND2,R0,VSS,m1,"{""by"": 12.4225, ""layer"": ""m1"", ""lx"": 25.055, ""rx"": 26.755, ""uy"": 12.4875}",via2_954,24,10,True,via2_954,"[""m1_4977"", ""m1_4980"", ""via1_4981"", ""m2_4982"", ""via1_4976"", ""m1_935"", ""via1_937"", ""m2_938"", ""via2_941"", ""m3_933"", ""via2_932"", ""m2_929"", ""via1_928"", ""m1_926"", ""m1_966"", ""m1_234"", ""via1_223"", ""m2_224"", ""via2_226"", ""m3_228"", ""via2_230"", ""m2_231"", ""via1_233"", ""m1_5""]"
lower_wordline_stage_0/and3_pre_3,AND3,R0,VDD,m1,"{""by"": 14.2425, ""layer"": ""m1"", ""lx"": 26.865, ""rx"": 28.91, ""uy"": 14.3075}",via2_924,23,10,True,via2_924,"[""m1_4966"", ""m1_4969"", ""via1_4970"", ""m2_4971"", ""via1_4965"", ""m1_905"", ""via1_907"", ""m2_908"", ""via2_911"", ""m3_903"", ""via2_902"", ""m2_899"", ""via1_898"", ""m1_896"", ""m1_955"", ""via1_7"", ""m2_9"", ""via2_10"", ""m3_12"", ""via2_14"", ""m2_15"", ""via1_17"", ""m1_4""]"
lower_wordline_stage_0/and3_pre_3,AND3,R0,VSS,m1,"{""by"": 12.4225, ""layer"": ""m1"", ""lx"": 26.865, ""rx"": 28.91, ""uy"": 12.4875}",via2_954,24,10,True,via2_954,"[""m1_4977"", ""m1_4980"", ""via1_4981"", ""m2_4982"", ""via1_4976"", ""m1_935"", ""via1_937"", ""m2_938"", ""via2_941"", ""m3_933"", ""via2_932"", ""m2_929"", ""via1_928"", ""m1_926"", ""m1_966"", ""m1_234"", ""via1_223"", ""m2_224"", ""via2_226"", ""m3_228"", ""via2_230"", ""m2_231"", ""via1_233"", ""m1_5""]"
