cell_name,hierarchy_cell_name,instance_path,label_text,label_layer,label_datatype,origin_x,origin_y,conductive_component_id,is_canonical,is_lowercase_alias,is_internal_device_terminal,duplication_source,exact_duplicate_count,same_component_distinct_label_names
PINV_NW2430_PW7290_L50,PINV_NW2430_PW7290_L50_nmos_m13_w0_188_sm1_dm1_da_p,PINV_NW2430_PW7290_L50_core[0]/PINV_NW2430_PW7290_L50_nmos_m13_w0_188_sm1_dm1_da_p[1],S,11,0,2.845,0.2175,contact_276,False,False,True,PTX_INTERNAL_TERMINAL,1,S|VSS|gnd
PINV_NW2430_PW7290_L50,PINV_NW2430_PW7290_L50_nmos_m13_w0_188_sm1_dm1_da_p,PINV_NW2430_PW7290_L50_core[0]/PINV_NW2430_PW7290_L50_nmos_m13_w0_188_sm1_dm1_da_p[1],S,11,0,3.395,0.2175,contact_276,False,False,True,PTX_INTERNAL_TERMINAL,1,S|VSS|gnd
PINV_NW2430_PW7290_L50,PINV_NW2430_PW7290_L50_nmos_m13_w0_188_sm1_dm1_da_p,PINV_NW2430_PW7290_L50_core[0]/PINV_NW2430_PW7290_L50_nmos_m13_w0_188_sm1_dm1_da_p[1],S,11,0,1.745,0.2175,contact_276,False,False,True,PTX_INTERNAL_TERMINAL,1,S|VSS|gnd
PINV_NW2430_PW7290_L50,PINV_NW2430_PW7290_L50_nmos_m13_w0_188_sm1_dm1_da_p,PINV_NW2430_PW7290_L50_core[0]/PINV_NW2430_PW7290_L50_nmos_m13_w0_188_sm1_dm1_da_p[1],S,11,0,0.125,0.2175,contact_276,False,False,True,PTX_INTERNAL_TERMINAL,1,S|VSS|gnd
PINV_NW2430_PW7290_L50,PINV_NW2430_PW7290_L50_nmos_m13_w0_188_sm1_dm1_da_p,PINV_NW2430_PW7290_L50_core[0]/PINV_NW2430_PW7290_L50_nmos_m13_w0_188_sm1_dm1_da_p[1],S,11,0,0.645,0.2175,contact_276,False,False,True,PTX_INTERNAL_TERMINAL,1,S|VSS|gnd
PINV_NW2430_PW7290_L50,PINV_NW2430_PW7290_L50_nmos_m13_w0_188_sm1_dm1_da_p,PINV_NW2430_PW7290_L50_core[0]/PINV_NW2430_PW7290_L50_nmos_m13_w0_188_sm1_dm1_da_p[1],S,11,0,1.195,0.2175,contact_276,False,False,True,PTX_INTERNAL_TERMINAL,1,S|VSS|gnd
PINV_NW2430_PW7290_L50,PINV_NW2430_PW7290_L50_nmos_m13_w0_188_sm1_dm1_da_p,PINV_NW2430_PW7290_L50_core[0]/PINV_NW2430_PW7290_L50_nmos_m13_w0_188_sm1_dm1_da_p[1],S,11,0,2.295,0.2175,contact_276,False,False,True,PTX_INTERNAL_TERMINAL,1,S|VSS|gnd
PINV_NW2430_PW7290_L50,PINV_NW2430_PW7290_L50_nmos_m13_w0_188_sm1_dm1_da_p,PINV_NW2430_PW7290_L50_core[0]/PINV_NW2430_PW7290_L50_nmos_m13_w0_188_sm1_dm1_da_p[1],D,11,0,2.005,0.3825,contact_264,False,False,True,PTX_INTERNAL_TERMINAL,1,D|G|Z
PINV_NW250_PW500_L50,PINV_NW250_PW500_L50,PINV_NW250_PW500_L50,A,11,0,0.14,0.8475,contact_76,True,False,False,TOP_WRAPPER_CANONICAL,2,A|G
PINV_NW250_PW500_L50,PINV_NW250_PW500_L50,PINV_NW250_PW500_L50,Z,11,0,0.3725,0.8475,contact_58,True,False,False,TOP_WRAPPER_CANONICAL,2,D|Z
