power_shape_id,net_name,power_group,gds_layer,gds_datatype,shape_type,shape_bbox,shape_center,source_report,is_real_power_shape,is_guide_geometry,is_placeholder_overlay,verified_in_gds
POWER_SHAPE_0031,VDD,MODULE_STITCH,41,0,MODULE_VDD_STITCH,"{'x0': 8.97, 'y0': 21.905, 'x1': 10.22875, 'y1': 25.8285, 'width': 1.25875, 'height': 3.9235}","{'x': 9.599375, 'y': 23.86675}",MODULE_STITCH,True,False,False,True
POWER_SHAPE_0032,GND,MODULE_STITCH,42,0,MODULE_GND_STITCH,"{'x0': 8.97, 'y0': 8.4315, 'x1': 10.22875, 'y1': 20.5405, 'width': 1.25875, 'height': 12.109}","{'x': 9.599375, 'y': 14.486}",MODULE_STITCH,True,False,False,True
POWER_SHAPE_0033,VDD,MODULE_STITCH,41,0,MODULE_VDD_STITCH,"{'x0': 7.831, 'y0': 24.41, 'x1': 10.22875, 'y1': 25.8285, 'width': 2.39775, 'height': 1.4185}","{'x': 9.029875, 'y': 25.11925}",MODULE_STITCH,True,False,False,True
POWER_SHAPE_0034,GND,MODULE_STITCH,42,0,MODULE_GND_STITCH,"{'x0': 7.831, 'y0': 8.4315, 'x1': 10.22875, 'y1': 23.0455, 'width': 2.39775, 'height': 14.614}","{'x': 9.029875, 'y': 15.7385}",MODULE_STITCH,True,False,False,True
POWER_SHAPE_0035,VDD,MODULE_STITCH,41,0,MODULE_VDD_STITCH,"{'x0': 17.00375, 'y0': 22.2455, 'x1': 19.84, 'y1': 26.9199, 'width': 2.83625, 'height': 4.6744}","{'x': 18.421875, 'y': 24.5827}",MODULE_STITCH,True,False,False,True
POWER_SHAPE_0036,GND,MODULE_STITCH,42,0,MODULE_GND_STITCH,"{'x0': 16.98375, 'y0': 21.0475, 'x1': 19.84, 'y1': 21.2101, 'width': 2.85625, 'height': 0.1626}","{'x': 18.411875, 'y': 21.1288}",MODULE_STITCH,True,False,False,True
POWER_SHAPE_0037,VDD,MODULE_STITCH,41,0,MODULE_VDD_STITCH,"{'x0': 18.71625, 'y0': 22.72, 'x1': 19.84, 'y1': 26.9199, 'width': 1.12375, 'height': 4.1999}","{'x': 19.278125, 'y': 24.81995}",MODULE_STITCH,True,False,False,True
POWER_SHAPE_0038,GND,MODULE_STITCH,42,0,MODULE_GND_STITCH,"{'x0': 19.12125, 'y0': 21.2101, 'x1': 19.84, 'y1': 21.9295, 'width': 0.71875, 'height': 0.7194}","{'x': 19.480625, 'y': 21.5698}",MODULE_STITCH,True,False,False,True
POWER_SHAPE_0039,VDD,MODULE_STITCH,41,0,MODULE_VDD_STITCH,"{'x0': 19.74, 'y0': 24.8625, 'x1': 20.68575, 'y1': 26.9199, 'width': 0.94575, 'height': 2.0574}","{'x': 20.212875, 'y': 25.8912}",MODULE_STITCH,True,False,False,True
POWER_SHAPE_0040,GND,MODULE_STITCH,42,0,MODULE_GND_STITCH,"{'x0': 19.74, 'y0': 21.1595, 'x1': 20.99825, 'y1': 21.2501, 'width': 1.25825, 'height': 0.0906}","{'x': 20.369125, 'y': 21.2048}",MODULE_STITCH,True,False,False,True
