parent_module,instance_name_expression,child_module,child_pin_index,child_pin_name,parent_net_expression,normalized_parent_net,source_line,loop_variables,branch_condition,operation_condition,configuration_condition
TIME,'and2_gated_clk_bar',AND2,2,A,cs,cs,621,,,,
TIME,'and2_gated_clk_bar',AND2,3,B,clk_bar,clk_bar,621,,,,
TIME,'and2_gated_clk_bar',AND2,4,Z,gated_clk_bar,gated_clk_bar,621,,,,
TIME,'and2_gated_clk_buf',AND2,0,VDD,VDD,VDD,637,,,,
TIME,'and2_gated_clk_buf',AND2,1,VSS,VSS,VSS,637,,,,
TIME,'and2_gated_clk_buf',AND2,2,A,cs,cs,637,,,,
TIME,'and2_gated_clk_buf',AND2,3,B,clk_buf,clk_buf,637,,,,
TIME,'and2_gated_clk_buf',AND2,4,Z,gated_clk_buf,gated_clk_buf,637,,,,
TIME,'wl_en',wl_pdrive,0,VDD,VDD,VDD,643,,,,
TIME,'wl_en',wl_pdrive,1,VSS,VSS,VSS,643,,,,
TIME,'wl_en',wl_pdrive,2,A,gated_clk_bar,gated_clk_bar,643,,,,
TIME,'wl_en',wl_pdrive,3,Z,wl_en,wl_en,643,,,,
TIME,'inv_wl_en_bar',PINV,0,VDD,VDD,VDD,655,,,,
TIME,'inv_wl_en_bar',PINV,1,VSS,VSS,VSS,655,,,,
TIME,'inv_wl_en_bar',PINV,2,A,wl_en,wl_en,655,,,,
TIME,'inv_wl_en_bar',PINV,3,Z,wl_en_bar,wl_en_bar,655,,,,
TIME,'delaychain',delay_chain,0,VDD,VDD,VDD,662,,,,
TIME,'delaychain',delay_chain,1,VSS,VSS,VSS,662,,,,
TIME,'delaychain',delay_chain,2,in,rbl,rbl,662,,,,
TIME,'delaychain',delay_chain,3,out,rbl_delay,rbl_delay,662,,,,
TIME,'inv_rbl_delay_bar',PINV,0,VDD,VDD,VDD,674,,,,
TIME,'inv_rbl_delay_bar',PINV,1,VSS,VSS,VSS,674,,,,
TIME,'inv_rbl_delay_bar',PINV,2,A,rbl_delay,rbl_delay,674,,,,
TIME,'inv_rbl_delay_bar',PINV,3,Z,rbl_delay_bar,rbl_delay_bar,674,,,,
TIME,'w_en',AND3,0,VDD,VDD,VDD,702,,,,
TIME,'w_en',AND3,1,VSS,VSS,VSS,702,,,,
TIME,'w_en',AND3,2,A,rbl_delay_bar,rbl_delay_bar,702,,,,
TIME,'w_en',AND3,3,B,gated_clk_bar,gated_clk_bar,702,,,,
TIME,'w_en',AND3,4,C,we,we,702,,,,
TIME,'w_en',AND3,5,Z,w_en,w_en,702,,,,
TIME,'s_en',AND3,0,VDD,VDD,VDD,718,,,,
TIME,'s_en',AND3,1,VSS,VSS,VSS,718,,,,
TIME,'s_en',AND3,2,A,rbl_delay,rbl_delay,718,,,,
TIME,'s_en',AND3,3,B,gated_clk_bar,gated_clk_bar,718,,,,
TIME,'s_en',AND3,4,C,we_bar,we_bar,718,,,,
TIME,'s_en',AND3,5,Z,s_en,s_en,718,,,,
TIME,'pre_unbuf',PNAND3,0,VDD,VDD,VDD,743,,,,
TIME,'pre_unbuf',PNAND3,1,VSS,VSS,VSS,743,,,,
TIME,'pre_unbuf',PNAND3,2,A,gated_clk_buf,gated_clk_buf,743,,,,
TIME,'pre_unbuf',PNAND3,3,B,rbl_delay,rbl_delay,743,,,,
TIME,'pre_unbuf',PNAND3,4,C,wl_en_bar,wl_en_bar,743,,,,
TIME,'pre_unbuf',PNAND3,5,Z,PRE_UNBUF,PRE_UNBUF,743,,,,
TIME,'pre',pdrive2_for_pre,0,VDD,VDD,VDD,754,,,,
TIME,'pre',pdrive2_for_pre,1,VSS,VSS,VSS,754,,,,
TIME,'pre',pdrive2_for_pre,2,A,PRE_UNBUF,PRE_UNBUF,754,,,,
TIME,'pre',pdrive2_for_pre,3,Z,PRE,PRE,754,,,,
delay_chain,'dinv0',PINV,0,VDD,VDD,VDD,333,,,,
delay_chain,'dinv0',PINV,1,VSS,VSS,VSS,333,,,,
delay_chain,'dinv0',PINV,2,A,in,in,333,,,,
delay_chain,'dinv0',PINV,3,Z,dout_1,dout_1,333,,,,
delay_chain,f'dload_0_{j}',PINV,0,VDD,VDD,VDD,337,j in range(4),,,
delay_chain,f'dload_0_{j}',PINV,1,VSS,VSS,VSS,337,j in range(4),,,
delay_chain,f'dload_0_{j}',PINV,2,A,dout_1,dout_1,337,j in range(4),,,
delay_chain,f'dload_0_{j}',PINV,3,Z,n_0_0,n_0_0,337,j in range(4),,,
delay_chain,f'dinv{i}',PINV,0,VDD,VDD,VDD,343,"i in range(1, 8)",,,
delay_chain,f'dinv{i}',PINV,1,VSS,VSS,VSS,343,"i in range(1, 8)",,,
delay_chain,f'dinv{i}',PINV,2,A,dout_1,dout_1,343,"i in range(1, 8)",,,
delay_chain,f'dinv{i}',PINV,3,Z,dout_2,dout_2,343,"i in range(1, 8)",,,
delay_chain,f'dload_{i}_{j}',PINV,0,VDD,VDD,VDD,348,"i in range(1, 8) | j in range(4)",,,
delay_chain,f'dload_{i}_{j}',PINV,1,VSS,VSS,VSS,348,"i in range(1, 8) | j in range(4)",,,
delay_chain,f'dload_{i}_{j}',PINV,2,A,dout_2,dout_2,348,"i in range(1, 8) | j in range(4)",,,
delay_chain,f'dload_{i}_{j}',PINV,3,Z,n_1_0,n_1_0,348,"i in range(1, 8) | j in range(4)",,,
delay_chain,'dinv8',PINV,0,VDD,VDD,VDD,352,,,,
delay_chain,'dinv8',PINV,1,VSS,VSS,VSS,352,,,,
delay_chain,'dinv8',PINV,2,A,dout_8,dout_8,352,,,,
delay_chain,'dinv8',PINV,3,Z,out,out,352,,,,
delay_chain,f'dload_8_{j}',PINV,0,VDD,VDD,VDD,356,j in range(4),,,
delay_chain,f'dload_8_{j}',PINV,1,VSS,VSS,VSS,356,j in range(4),,,
delay_chain,f'dload_8_{j}',PINV,2,A,out,out,356,j in range(4),,,
delay_chain,f'dload_8_{j}',PINV,3,Z,n_8_0,n_8_0,356,j in range(4),,,
pdrive,'buf_inv1',PINV,0,VDD,VDD,VDD,87,,,,
pdrive,'buf_inv1',PINV,1,VSS,VSS,VSS,87,,,,
pdrive,'buf_inv1',PINV,2,A,A,A,87,,,,
pdrive,'buf_inv1',PINV,3,Z,zb1_node,zb1_node,87,,,,
pdrive,'buf_inv2',PINV,0,VDD,VDD,VDD,91,,,,
pdrive,'buf_inv2',PINV,1,VSS,VSS,VSS,91,,,,
pdrive,'buf_inv2',PINV,2,A,zb1_node,zb1_node,91,,,,
pdrive,'buf_inv2',PINV,3,Z,zb2_node,zb2_node,91,,,,
pdrive,'buf_inv3',PINV,0,VDD,VDD,VDD,95,,,,
pdrive,'buf_inv3',PINV,1,VSS,VSS,VSS,95,,,,
pdrive,'buf_inv3',PINV,2,A,zb2_node,zb2_node,95,,,,
pdrive,'buf_inv3',PINV,3,Z,zb3_node,zb3_node,95,,,,
pdrive,'buf_inv4',PINV,0,VDD,VDD,VDD,99,,,,
pdrive,'buf_inv4',PINV,1,VSS,VSS,VSS,99,,,,
pdrive,'buf_inv4',PINV,2,A,zb3_node,zb3_node,99,,,,
pdrive,'buf_inv4',PINV,3,Z,Z,Z,99,,,,
pdrive2_for_pre,'buf_inv1',PINV,0,VDD,VDD,VDD,138,,,,
pdrive2_for_pre,'buf_inv1',PINV,1,VSS,VSS,VSS,138,,,,
pdrive2_for_pre,'buf_inv1',PINV,2,A,A,A,138,,,,
pdrive2_for_pre,'buf_inv1',PINV,3,Z,zb1_node,zb1_node,138,,,,
pdrive2_for_pre,'buf_inv2',PINV,0,VDD,VDD,VDD,142,,,,
pdrive2_for_pre,'buf_inv2',PINV,1,VSS,VSS,VSS,142,,,,
pdrive2_for_pre,'buf_inv2',PINV,2,A,zb1_node,zb1_node,142,,,,
pdrive2_for_pre,'buf_inv2',PINV,3,Z,Z,Z,142,,,,
wen_delay_chain,f'winv{i}',PINV,0,VDD,VDD,VDD,396,i in range(self.stages),,,
wen_delay_chain,f'winv{i}',PINV,1,VSS,VSS,VSS,396,i in range(self.stages),,,
wen_delay_chain,f'winv{i}',PINV,2,A,in,in,396,i in range(self.stages),,,
wen_delay_chain,f'winv{i}',PINV,3,Z,f'wen_dly_{i + 1},f'wen_dly_{i + 1},396,i in range(self.stages),,,
wen_delay_chain,f'wload_{i}_{j}',PINV,0,VDD,VDD,VDD,400,i in range(self.stages) | j in range(self.loads_per_stage),,,
wen_delay_chain,f'wload_{i}_{j}',PINV,1,VSS,VSS,VSS,400,i in range(self.stages) | j in range(self.loads_per_stage),,,
wen_delay_chain,f'wload_{i}_{j}',PINV,2,A,f'wen_dly_{i + 1},f'wen_dly_{i + 1},400,i in range(self.stages) | j in range(self.loads_per_stage),,,
wen_delay_chain,f'wload_{i}_{j}',PINV,3,Z,wn_0_0,wn_0_0,400,i in range(self.stages) | j in range(self.loads_per_stage),,,
wl_pdrive,'buf_inv1',PINV,0,VDD,VDD,VDD,177,,,,
wl_pdrive,'buf_inv1',PINV,1,VSS,VSS,VSS,177,,,,
wl_pdrive,'buf_inv1',PINV,2,A,A,A,177,,,,
wl_pdrive,'buf_inv1',PINV,3,Z,zb1_node,zb1_node,177,,,,
wl_pdrive,'buf_inv2',PINV,0,VDD,VDD,VDD,181,,,,
wl_pdrive,'buf_inv2',PINV,1,VSS,VSS,VSS,181,,,,
wl_pdrive,'buf_inv2',PINV,2,A,zb1_node,zb1_node,181,,,,
wl_pdrive,'buf_inv2',PINV,3,Z,Z,Z,181,,,,
