parent_module,instance_name_expression,child_module,child_pin_index,child_pin_name,parent_net_expression,normalized_parent_net,source_line,loop_variables,branch_condition,operation_condition,configuration_condition,declaration_status,active_in_default_environment,condition_evaluation_status
DFF,'tg4',TRANSMISSION_GATE,4,CTR_P,CLK,CLK,254,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF,'tg4',TRANSMISSION_GATE,5,CTR_N,CLKB,CLKB,254,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF_BUF,'dff',DFF,0,VDD,VDD,VDD,288,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF_BUF,'dff',DFF,1,VSS,VSS,VSS,288,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF_BUF,'dff',DFF,2,D,D,D,288,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF_BUF,'dff',DFF,3,Q,qint,qint,288,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF_BUF,'dff',DFF,4,CLK,CLK,CLK,288,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF_BUF,'inv1',PINV,0,VDD,VDD,VDD,292,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF_BUF,'inv1',PINV,1,VSS,VSS,VSS,292,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF_BUF,'inv1',PINV,2,A,qint,qint,292,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF_BUF,'inv1',PINV,3,Z,QB,QB,292,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF_BUF,'inv2',PINV,0,VDD,VDD,VDD,296,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF_BUF,'inv2',PINV,1,VSS,VSS,VSS,296,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF_BUF,'inv2',PINV,2,A,QB,QB,296,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DFF_BUF,'inv2',PINV,3,Z,Q,Q,296,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'dff_buf_addr',ADDR_DFF,0,VDD,VDD,VDD,536,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'dff_buf_addr',ADDR_DFF,1,VSS,VSS,VSS,536,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'dff_buf_addr',ADDR_DFF,2,CLK,clk_buf,clk_buf,536,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'dff_buf_addr',ADDR_DFF,3,A0,A0,A0,536,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'dff_buf_addr',ADDR_DFF,4,A1,A1,A1,536,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'dff_buf_addr',ADDR_DFF,5,A2,A2,A2,536,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'dff_buf_addr',ADDR_DFF,6,A3,A3,A3,536,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'dff_buf_addr',ADDR_DFF,7,A_dff0,A_dff0,A_dff0,536,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'dff_buf_addr',ADDR_DFF,8,A_dff1,A_dff1,A_dff1,536,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'dff_buf_addr',ADDR_DFF,9,A_dff2,A_dff2,A_dff2,536,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'dff_buf_addr',ADDR_DFF,10,A_dff3,A_dff3,A_dff3,536,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'dff_buf_data',DATA_DFF,0,VDD,VDD,VDD,554,,operation == 'write' or operation == 'read&write',operation == 'write' or operation == 'read&write',operation == 'write' or operation == 'read&write',DECLARED_IN_SOURCE,False,INACTIVE_FOR_CONFIG
TIME,'dff_buf_data',DATA_DFF,1,VSS,VSS,VSS,554,,operation == 'write' or operation == 'read&write',operation == 'write' or operation == 'read&write',operation == 'write' or operation == 'read&write',DECLARED_IN_SOURCE,False,INACTIVE_FOR_CONFIG
TIME,'dff_buf_data',DATA_DFF,2,CLK,clk_buf,clk_buf,554,,operation == 'write' or operation == 'read&write',operation == 'write' or operation == 'read&write',operation == 'write' or operation == 'read&write',DECLARED_IN_SOURCE,False,INACTIVE_FOR_CONFIG
TIME,'dff_buf_data',DATA_DFF,3,DIN0,DIN0,DIN0,554,,operation == 'write' or operation == 'read&write',operation == 'write' or operation == 'read&write',operation == 'write' or operation == 'read&write',DECLARED_IN_SOURCE,False,INACTIVE_FOR_CONFIG
TIME,'dff_buf_data',DATA_DFF,4,DIN1,DIN1,DIN1,554,,operation == 'write' or operation == 'read&write',operation == 'write' or operation == 'read&write',operation == 'write' or operation == 'read&write',DECLARED_IN_SOURCE,False,INACTIVE_FOR_CONFIG
TIME,'dff_buf_data',DATA_DFF,5,DIN2,DIN2,DIN2,554,,operation == 'write' or operation == 'read&write',operation == 'write' or operation == 'read&write',operation == 'write' or operation == 'read&write',DECLARED_IN_SOURCE,False,INACTIVE_FOR_CONFIG
TIME,'dff_buf_data',DATA_DFF,6,DIN3,DIN3,DIN3,554,,operation == 'write' or operation == 'read&write',operation == 'write' or operation == 'read&write',operation == 'write' or operation == 'read&write',DECLARED_IN_SOURCE,False,INACTIVE_FOR_CONFIG
TIME,'dff_buf_data',DATA_DFF,7,DIN4,DIN4,DIN4,554,,operation == 'write' or operation == 'read&write',operation == 'write' or operation == 'read&write',operation == 'write' or operation == 'read&write',DECLARED_IN_SOURCE,False,INACTIVE_FOR_CONFIG
TIME,'dff_buf_data',DATA_DFF,8,DIN5,DIN5,DIN5,554,,operation == 'write' or operation == 'read&write',operation == 'write' or operation == 'read&write',operation == 'write' or operation == 'read&write',DECLARED_IN_SOURCE,False,INACTIVE_FOR_CONFIG
TIME,'dff_buf_data',DATA_DFF,9,DIN6,DIN6,DIN6,554,,operation == 'write' or operation == 'read&write',operation == 'write' or operation == 'read&write',operation == 'write' or operation == 'read&write',DECLARED_IN_SOURCE,False,INACTIVE_FOR_CONFIG
TIME,'dff_buf_data',DATA_DFF,10,DIN7,DIN7,DIN7,554,,operation == 'write' or operation == 'read&write',operation == 'write' or operation == 'read&write',operation == 'write' or operation == 'read&write',DECLARED_IN_SOURCE,False,INACTIVE_FOR_CONFIG
TIME,'dff_buf_data',DATA_DFF,11,DIN_dff0,DIN_dff0,DIN_dff0,554,,operation == 'write' or operation == 'read&write',operation == 'write' or operation == 'read&write',operation == 'write' or operation == 'read&write',DECLARED_IN_SOURCE,False,INACTIVE_FOR_CONFIG
TIME,'dff_buf_data',DATA_DFF,12,DIN_dff1,DIN_dff1,DIN_dff1,554,,operation == 'write' or operation == 'read&write',operation == 'write' or operation == 'read&write',operation == 'write' or operation == 'read&write',DECLARED_IN_SOURCE,False,INACTIVE_FOR_CONFIG
TIME,'dff_buf_data',DATA_DFF,13,DIN_dff2,DIN_dff2,DIN_dff2,554,,operation == 'write' or operation == 'read&write',operation == 'write' or operation == 'read&write',operation == 'write' or operation == 'read&write',DECLARED_IN_SOURCE,False,INACTIVE_FOR_CONFIG
TIME,'dff_buf_data',DATA_DFF,14,DIN_dff3,DIN_dff3,DIN_dff3,554,,operation == 'write' or operation == 'read&write',operation == 'write' or operation == 'read&write',operation == 'write' or operation == 'read&write',DECLARED_IN_SOURCE,False,INACTIVE_FOR_CONFIG
TIME,'dff_buf_data',DATA_DFF,15,DIN_dff4,DIN_dff4,DIN_dff4,554,,operation == 'write' or operation == 'read&write',operation == 'write' or operation == 'read&write',operation == 'write' or operation == 'read&write',DECLARED_IN_SOURCE,False,INACTIVE_FOR_CONFIG
TIME,'dff_buf_data',DATA_DFF,16,DIN_dff5,DIN_dff5,DIN_dff5,554,,operation == 'write' or operation == 'read&write',operation == 'write' or operation == 'read&write',operation == 'write' or operation == 'read&write',DECLARED_IN_SOURCE,False,INACTIVE_FOR_CONFIG
TIME,'dff_buf_data',DATA_DFF,17,DIN_dff6,DIN_dff6,DIN_dff6,554,,operation == 'write' or operation == 'read&write',operation == 'write' or operation == 'read&write',operation == 'write' or operation == 'read&write',DECLARED_IN_SOURCE,False,INACTIVE_FOR_CONFIG
TIME,'dff_buf_data',DATA_DFF,18,DIN_dff7,DIN_dff7,DIN_dff7,554,,operation == 'write' or operation == 'read&write',operation == 'write' or operation == 'read&write',operation == 'write' or operation == 'read&write',DECLARED_IN_SOURCE,False,INACTIVE_FOR_CONFIG
TIME,'clkbuf',pdrive,0,VDD,VDD,VDD,579,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'clkbuf',pdrive,1,VSS,VSS,VSS,579,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'clkbuf',pdrive,2,A,clk,clk,579,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'clkbuf',pdrive,3,Z,clk_buf,clk_buf,579,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'inv_clk_bar',PINV,0,VDD,VDD,VDD,591,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'inv_clk_bar',PINV,1,VSS,VSS,VSS,591,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'inv_clk_bar',PINV,2,A,clk_buf,clk_buf,591,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'inv_clk_bar',PINV,3,Z,clk_bar,clk_bar,591,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'dff_buf',DFF_BUF,0,VDD,VDD,VDD,598,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'dff_buf',DFF_BUF,1,VSS,VSS,VSS,598,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'dff_buf',DFF_BUF,2,D,csb,csb,598,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'dff_buf',DFF_BUF,3,Q,cs_bar,cs_bar,598,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'dff_buf',DFF_BUF,4,QB,cs,cs,598,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'dff_buf',DFF_BUF,5,CLK,clk_buf,clk_buf,598,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'dff_buf1',DFF_BUF,0,VDD,VDD,VDD,605,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'dff_buf1',DFF_BUF,1,VSS,VSS,VSS,605,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'dff_buf1',DFF_BUF,2,D,web,web,605,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'dff_buf1',DFF_BUF,3,Q,we_bar,we_bar,605,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'dff_buf1',DFF_BUF,4,QB,we,we,605,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'dff_buf1',DFF_BUF,5,CLK,clk_buf,clk_buf,605,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'and2_gated_clk_bar',AND2,0,VDD,VDD,VDD,621,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'and2_gated_clk_bar',AND2,1,VSS,VSS,VSS,621,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'and2_gated_clk_bar',AND2,2,A,cs,cs,621,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'and2_gated_clk_bar',AND2,3,B,clk_bar,clk_bar,621,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'and2_gated_clk_bar',AND2,4,Z,gated_clk_bar,gated_clk_bar,621,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'and2_gated_clk_buf',AND2,0,VDD,VDD,VDD,637,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'and2_gated_clk_buf',AND2,1,VSS,VSS,VSS,637,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'and2_gated_clk_buf',AND2,2,A,cs,cs,637,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'and2_gated_clk_buf',AND2,3,B,clk_buf,clk_buf,637,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'and2_gated_clk_buf',AND2,4,Z,gated_clk_buf,gated_clk_buf,637,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'wl_en',wl_pdrive,0,VDD,VDD,VDD,643,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'wl_en',wl_pdrive,1,VSS,VSS,VSS,643,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'wl_en',wl_pdrive,2,A,gated_clk_bar,gated_clk_bar,643,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'wl_en',wl_pdrive,3,Z,wl_en,wl_en,643,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'inv_wl_en_bar',PINV,0,VDD,VDD,VDD,655,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
