parent_module,source_line,source_loop_context,instance_name_expression,child_module,child_pin_index,child_pin_name,parent_net_expression,normalized_parent_net,branch_condition,active_for_config,condition_evaluation,condition_input_values,condition_evaluation_source
DFF,246,,'inv6',PINV,2,A,z5,z5,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF
DFF,246,,'inv6',PINV,3,Z,Q,Q,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF
DFF,250,,'inv7',PINV,0,VDD,VDD,VDD,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF
DFF,250,,'inv7',PINV,1,VSS,VSS,VSS,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF
DFF,250,,'inv7',PINV,2,A,Q,Q,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF
DFF,250,,'inv7',PINV,3,Z,QB,QB,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF
DFF,254,,'tg4',TRANSMISSION_GATE,0,VDD,VDD,VDD,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF
DFF,254,,'tg4',TRANSMISSION_GATE,1,VSS,VSS,VSS,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF
DFF,254,,'tg4',TRANSMISSION_GATE,2,IN,QB,QB,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF
DFF,254,,'tg4',TRANSMISSION_GATE,3,OUT,z5,z5,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF
DFF,254,,'tg4',TRANSMISSION_GATE,4,CTR_P,CLK,CLK,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF
DFF,254,,'tg4',TRANSMISSION_GATE,5,CTR_N,CLKB,CLKB,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF
TIME,554,,'dff_buf_data',DATA_DFF,0,VDD,VDD,VDD,operation == 'write' or operation == 'read&write',True,ACTIVE_FOR_CONFIG,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",TIME
TIME,554,,'dff_buf_data',DATA_DFF,1,VSS,VSS,VSS,operation == 'write' or operation == 'read&write',True,ACTIVE_FOR_CONFIG,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",TIME
TIME,554,,'dff_buf_data',DATA_DFF,2,CLK,clk_buf,clk_buf,operation == 'write' or operation == 'read&write',True,ACTIVE_FOR_CONFIG,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",TIME
TIME,554,,'dff_buf_data',DATA_DFF,3,DIN0,DIN0,DIN0,operation == 'write' or operation == 'read&write',True,ACTIVE_FOR_CONFIG,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",TIME
