instance_id,parent_module,instance_name,instance_type,module_name,pin_count,nets,source_trace
TIME.Xdff_buf_data,TIME,Xdff_buf_data,X,DATA_DFF,35,"['VDD', 'VSS', 'clk_buf', 'DIN0', 'DIN1', 'DIN2', 'DIN3', 'DIN4', 'DIN5', 'DIN6', 'DIN7', 'DIN8', 'DIN9', 'DIN10', 'DIN11', 'DIN12', 'DIN13', 'DIN14', 'DIN15', 'DIN_dff0', 'DIN_dff1', 'DIN_dff2', 'DIN_dff3', 'DIN_dff4', 'DIN_dff5', 'DIN_dff6', 'DIN_dff7', 'DIN_dff8', 'DIN_dff9', 'DIN_dff10', 'DIN_dff11', 'DIN_dff12', 'DIN_dff13', 'DIN_dff14', 'DIN_dff15']","{'source_file': 'sram_compiler/subcircuits/time_generate.py', 'source_class': 'DATA_DFF', 'source_module_name': 'DATA_DFF', 'role_hint': 'control_timing'}"
TIME.Xclkbuf,TIME,Xclkbuf,X,pdrive,4,"['VDD', 'VSS', 'clk', 'clk_buf']","{'source_file': 'sram_compiler/subcircuits/time_generate.py', 'source_class': 'pdrive', 'source_module_name': 'pdrive', 'role_hint': 'support_cell'}"
TIME.Xinv_clk_bar,TIME,Xinv_clk_bar,X,PINV,4,"['VDD', 'VSS', 'clk_buf', 'clk_bar']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'PINV', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
TIME.Xdff_buf,TIME,Xdff_buf,X,DFF_BUF,6,"['VDD', 'VSS', 'csb', 'cs_bar', 'cs', 'clk_buf']","{'source_file': 'sram_compiler/subcircuits/time_generate.py', 'source_class': 'DFF_BUF', 'source_module_name': 'DFF_BUF', 'role_hint': 'support_cell'}"
TIME.Xdff_buf1,TIME,Xdff_buf1,X,DFF_BUF,6,"['VDD', 'VSS', 'web', 'we_bar', 'we', 'clk_buf']","{'source_file': 'sram_compiler/subcircuits/time_generate.py', 'source_class': 'DFF_BUF', 'source_module_name': 'DFF_BUF', 'role_hint': 'support_cell'}"
TIME.Xand2_gated_clk_bar,TIME,Xand2_gated_clk_bar,X,AND2,5,"['VDD', 'VSS', 'cs', 'clk_bar', 'gated_clk_bar']","{'source_file': 'sram_compiler/subcircuits/standard_cell.py', 'source_class': 'AND2', 'source_module_name': 'AND2', 'role_hint': 'support_cell'}"
TIME.Xand2_gated_clk_buf,TIME,Xand2_gated_clk_buf,X,AND2,5,"['VDD', 'VSS', 'cs', 'clk_buf', 'gated_clk_buf']","{'source_file': 'sram_compiler/subcircuits/standard_cell.py', 'source_class': 'AND2', 'source_module_name': 'AND2', 'role_hint': 'support_cell'}"
TIME.Xwl_en,TIME,Xwl_en,X,wl_pdrive,4,"['VDD', 'VSS', 'gated_clk_bar', 'wl_en']","{'source_file': 'sram_compiler/subcircuits/time_generate.py', 'source_class': 'wl_pdrive', 'source_module_name': 'wl_pdrive', 'role_hint': 'support_cell'}"
TIME.Xinv_wl_en_bar,TIME,Xinv_wl_en_bar,X,PINV_wl_en_bar,4,"['VDD', 'VSS', 'wl_en', 'wl_en_bar']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'PINV_wl_en_bar', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
TIME.Xdelaychain,TIME,Xdelaychain,X,delay_chain,4,"['VDD', 'VSS', 'rbl', 'rbl_delay']","{'source_file': 'sram_compiler/subcircuits/time_generate.py', 'source_class': 'DelayChain', 'source_module_name': 'delay_chain', 'role_hint': 'control_timing'}"
TIME.Xinv_rbl_delay_bar,TIME,Xinv_rbl_delay_bar,X,PINV,4,"['VDD', 'VSS', 'rbl_delay', 'rbl_delay_bar']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'PINV', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
TIME.Xw_en,TIME,Xw_en,X,AND3,6,"['VDD', 'VSS', 'rbl_delay_bar', 'gated_clk_bar', 'we', 'w_en']","{'source_file': 'sram_compiler/subcircuits/standard_cell.py', 'source_class': 'AND3', 'source_module_name': 'AND3', 'role_hint': 'support_cell'}"
TIME.Xs_en,TIME,Xs_en,X,AND3,6,"['VDD', 'VSS', 'rbl_delay', 'gated_clk_bar', 'we_bar', 's_en']","{'source_file': 'sram_compiler/subcircuits/standard_cell.py', 'source_class': 'AND3', 'source_module_name': 'AND3', 'role_hint': 'support_cell'}"
TIME.Xpre_unbuf,TIME,Xpre_unbuf,X,PNAND3,6,"['VDD', 'VSS', 'gated_clk_buf', 'rbl_delay', 'wl_en_bar', 'PRE_UNBUF']","{'source_file': 'sram_compiler/subcircuits/standard_cell.py', 'source_class': 'PNAND3', 'source_module_name': 'PNAND3', 'role_hint': 'support_cell'}"
TIME.Xpre,TIME,Xpre,X,pdrive2_for_pre,4,"['VDD', 'VSS', 'PRE_UNBUF', 'PRE']","{'source_file': 'sram_compiler/subcircuits/time_generate.py', 'source_class': 'pdrive2_for_pre', 'source_module_name': 'pdrive2_for_pre', 'role_hint': 'support_cell'}"
ADDR_DFF.Xdff_0,ADDR_DFF,Xdff_0,X,DFF,5,"['VDD', 'VSS', 'A0', 'A_dff0', 'CLK']","{'source_file': 'sram_compiler/subcircuits/time_generate.py', 'source_class': 'dff', 'source_module_name': 'DFF', 'role_hint': 'control_timing'}"
ADDR_DFF.Xdff_1,ADDR_DFF,Xdff_1,X,DFF,5,"['VDD', 'VSS', 'A1', 'A_dff1', 'CLK']","{'source_file': 'sram_compiler/subcircuits/time_generate.py', 'source_class': 'dff', 'source_module_name': 'DFF', 'role_hint': 'control_timing'}"
ADDR_DFF.Xdff_2,ADDR_DFF,Xdff_2,X,DFF,5,"['VDD', 'VSS', 'A2', 'A_dff2', 'CLK']","{'source_file': 'sram_compiler/subcircuits/time_generate.py', 'source_class': 'dff', 'source_module_name': 'DFF', 'role_hint': 'control_timing'}"
ADDR_DFF.Xdff_3,ADDR_DFF,Xdff_3,X,DFF,5,"['VDD', 'VSS', 'A3', 'A_dff3', 'CLK']","{'source_file': 'sram_compiler/subcircuits/time_generate.py', 'source_class': 'dff', 'source_module_name': 'DFF', 'role_hint': 'control_timing'}"
DFF.Xinv1_clk,DFF,Xinv1_clk,X,PINV1,4,"['VDD', 'VSS', 'CLK', 'CLKB']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'PINV1', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
DFF.Xinv2_D,DFF,Xinv2_D,X,PINV1,4,"['VDD', 'VSS', 'D', 'D_b']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'PINV1', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
DFF.Xtg1,DFF,Xtg1,X,TRANSMISSION_GATE,6,"['VDD', 'VSS', 'D_b', 'z1', 'CLK', 'CLKB']","{'source_file': 'sram_compiler/subcircuits/time_generate.py', 'source_class': 'TransmissionGate', 'source_module_name': 'TRANSMISSION_GATE', 'role_hint': 'support_cell'}"
