module_name,physical_role,pin_name,pin_category,net_category,pin_status,suggested_access_edge,suggested_access_direction,source_layer,synthesis_rule
bitcell_array,ARRAY_CORE,WL[3],WORDLINE,WORDLINE,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
dummy_array,ARRAY_DUMMY,BL[0],BITLINE,BITLINE,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
dummy_array,ARRAY_DUMMY,BL[1],BITLINE,BITLINE,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
dummy_array,ARRAY_DUMMY,BL[2],BITLINE,BITLINE,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
dummy_array,ARRAY_DUMMY,BL[3],BITLINE,BITLINE,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
dummy_array,ARRAY_DUMMY,BR[0],BITLINE_BAR,BITLINE_BAR,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
dummy_array,ARRAY_DUMMY,BR[1],BITLINE_BAR,BITLINE_BAR,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
dummy_array,ARRAY_DUMMY,BR[2],BITLINE_BAR,BITLINE_BAR,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
dummy_array,ARRAY_DUMMY,BR[3],BITLINE_BAR,BITLINE_BAR,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
dummy_array,ARRAY_DUMMY,GND,GROUND,GROUND,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,11,
dummy_array,ARRAY_DUMMY,VDD,POWER,POWER,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,11,
dummy_array,ARRAY_DUMMY,WL[0],WORDLINE,WORDLINE,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
dummy_array,ARRAY_DUMMY,WL[1],WORDLINE,WORDLINE,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
dummy_array,ARRAY_DUMMY,WL[2],WORDLINE,WORDLINE,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
dummy_array,ARRAY_DUMMY,WL[3],WORDLINE,WORDLINE,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
replica_array,ARRAY_REPLICA,BL[0],BITLINE,BITLINE,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
replica_array,ARRAY_REPLICA,BL[1],BITLINE,BITLINE,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
replica_array,ARRAY_REPLICA,BL[2],BITLINE,BITLINE,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
replica_array,ARRAY_REPLICA,BL[3],BITLINE,BITLINE,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
replica_array,ARRAY_REPLICA,BR[0],BITLINE_BAR,BITLINE_BAR,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
replica_array,ARRAY_REPLICA,BR[1],BITLINE_BAR,BITLINE_BAR,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
replica_array,ARRAY_REPLICA,BR[2],BITLINE_BAR,BITLINE_BAR,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
