module_name,source_file,source_line,source_loop_context,instance_name_expression,instance_name_template,child_constructor_alias,child_source_class,child_logical_module,child_pin_order,parent_net_connections,pin_count,connection_count,pin_connection_count_match,parameter_expression,topology_resolution_status,branch_condition,method_name
TIME,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,536,,'dff_buf_addr','dff_buf_addr',dff_buf_addr,ADDR_DFF,ADDR_DFF,"['VDD', 'VSS', 'CLK', 'A0', 'A1', 'A2', 'A3', 'A_dff0', 'A_dff1', 'A_dff2', 'A_dff3']","['VDD', 'VSS', 'clk_buf', 'A0', 'A1', 'A2', 'A3', 'A_dff0', 'A_dff1', 'A_dff2', 'A_dff3']",11,11,True,"{'nmos_model': ""'NMOS_VTG'"", 'pmos_model': ""'PMOS_VTG'"", 'num_rows': 'self.num_rows'}",SOURCE_EXACT_RESOLVED,,__init__
TIME,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,554,,'dff_buf_data','dff_buf_data',dff_buf_data,DATA_DFF,DATA_DFF,"['VDD', 'VSS', 'CLK', 'DIN0', 'DIN1', 'DIN2', 'DIN3', 'DIN4', 'DIN5', 'DIN6', 'DIN7', 'DIN_dff0', 'DIN_dff1', 'DIN_dff2', 'DIN_dff3', 'DIN_dff4', 'DIN_dff5', 'DIN_dff6', 'DIN_dff7']","['VDD', 'VSS', 'clk_buf', 'DIN0', 'DIN1', 'DIN2', 'DIN3', 'DIN4', 'DIN5', 'DIN6', 'DIN7', 'DIN_dff0', 'DIN_dff1', 'DIN_dff2', 'DIN_dff3', 'DIN_dff4', 'DIN_dff5', 'DIN_dff6', 'DIN_dff7']",19,19,True,"{'nmos_model': ""'NMOS_VTG'"", 'pmos_model': ""'PMOS_VTG'"", 'num_cols': 'self.num_cols'}",SOURCE_EXACT_RESOLVED,operation == 'write' or operation == 'read&write',__init__
TIME,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,579,,'clkbuf','clkbuf',clkbuf,pdrive,pdrive,"['VDD', 'VSS', 'A', 'Z']","['VDD', 'VSS', 'clk', 'clk_buf']",4,4,True,"{'nmos_model': ""'NMOS_VTG'"", 'pmos_model': ""'PMOS_VTG'"", 'drive_scale': 'clk_drive_scale'}",SOURCE_EXACT_RESOLVED,,__init__
TIME,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,591,,'inv_clk_bar','inv_clk_bar',inv_clk_bar,Pinv,PINV,"['VDD', 'VSS', 'A', 'Z']","['VDD', 'VSS', 'clk_buf', 'clk_bar']",4,4,True,"{'nmos_model': ""'NMOS_VTG'"", 'pmos_model': ""'PMOS_VTG'"", 'nmos_width': '9e-08', 'pmos_width': '2.7e-07', 'length': '5e-08'}",SOURCE_EXACT_RESOLVED,,__init__
TIME,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,598,,'dff_buf','dff_buf',dff_buf,DFF_BUF,DFF_BUF,"['VDD', 'VSS', 'D', 'Q', 'QB', 'CLK']","['VDD', 'VSS', 'csb', 'cs_bar', 'cs', 'clk_buf']",6,6,True,"{'nmos_model': ""'NMOS_VTG'"", 'pmos_model': ""'PMOS_VTG'""}",SOURCE_EXACT_RESOLVED,,__init__
TIME,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,605,,'dff_buf1','dff_buf1',dff_buf1,DFF_BUF,DFF_BUF,"['VDD', 'VSS', 'D', 'Q', 'QB', 'CLK']","['VDD', 'VSS', 'web', 'we_bar', 'we', 'clk_buf']",6,6,True,"{'nmos_model': ""'NMOS_VTG'"", 'pmos_model': ""'PMOS_VTG'""}",SOURCE_EXACT_RESOLVED,,__init__
TIME,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,621,,'and2_gated_clk_bar','and2_gated_clk_bar',and2_gated_clk_bar,AND2,AND2,"['VDD', 'VSS', 'A', 'B', 'Z']","['VDD', 'VSS', 'cs', 'clk_bar', 'gated_clk_bar']",5,5,True,"{'nmos_model_nand': ""'NMOS_VTG'"", 'pmos_model_nand': ""'PMOS_VTG'"", 'nmos_model_inv': ""'NMOS_VTG'"", 'pmos_model_inv': ""'PMOS_VTG'"", 'nand_pmos_width': '2.7e-07', 'nand_nmos_width': '1.8e-07', 'inv_pmos_width': '1.62e-06', 'inv_nmos_width': '5.4e-07', 'length': '5e-08', 'w_rc': 'w_rc'}",SOURCE_EXACT_RESOLVED,,__init__
TIME,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,637,,'and2_gated_clk_buf','and2_gated_clk_buf',and2_gated_clk_buf,AND2,AND2,"['VDD', 'VSS', 'A', 'B', 'Z']","['VDD', 'VSS', 'cs', 'clk_buf', 'gated_clk_buf']",5,5,True,"{'nmos_model_nand': ""'NMOS_VTG'"", 'pmos_model_nand': ""'PMOS_VTG'"", 'nmos_model_inv': ""'NMOS_VTG'"", 'pmos_model_inv': ""'PMOS_VTG'"", 'nand_pmos_width': '2.7e-07', 'nand_nmos_width': '1.8e-07', 'inv_pmos_width': '1.62e-06', 'inv_nmos_width': '5.4e-07', 'length': '5e-08', 'w_rc': 'w_rc'}",SOURCE_EXACT_RESOLVED,,__init__
TIME,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,643,,'wl_en','wl_en',wl_en,wl_pdrive,wl_pdrive,"['VDD', 'VSS', 'A', 'Z']","['VDD', 'VSS', 'gated_clk_bar', 'wl_en']",4,4,True,{},SOURCE_EXACT_RESOLVED,,__init__
TIME,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,655,,'inv_wl_en_bar','inv_wl_en_bar',inv_wl_en_bar,Pinv,PINV,"['VDD', 'VSS', 'A', 'Z']","['VDD', 'VSS', 'wl_en', 'wl_en_bar']",4,4,True,"{'nmos_model': ""'NMOS_VTG'"", 'pmos_model': ""'PMOS_VTG'"", 'nmos_width': '9e-08', 'pmos_width': '2.7e-07', 'length': '5e-08', 'num': ""'_wl_en_bar'""}",SOURCE_EXACT_RESOLVED,,__init__
