parent_composite_module,parent_instance_context,child_logical_alias,child_source_parameter_tuple,resolved_physical_cell_name,approved_reusable_root,geometry_fingerprint,canonical_pin_map,drc_report,connectivity_report,source_trace,binding_status,binding_failure_reason
delay_chain,f'dinv{i},Pinv,"{""length"": ""5e-08"", ""num"": ""1""}",PINV_NW90_PW270_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells,3d0d21c2e747d8836861f878,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW90_PW270_L50/PINV_NW90_PW270_L50_pin_map.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/drc/PINV_NW90_PW270_L50.lyrdb,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW90_PW270_L50/PINV_NW90_PW270_L50_connectivity.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/cells/PINV_NW90_PW270_L50/PINV_NW90_PW270_L50_source_trace.json,APPROVED_EXACT_BINDING,
delay_chain,f'dload_{i}_{j},Pinv,"{""length"": ""5e-08"", ""num"": ""1""}",PINV_NW90_PW270_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells,3d0d21c2e747d8836861f878,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW90_PW270_L50/PINV_NW90_PW270_L50_pin_map.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/drc/PINV_NW90_PW270_L50.lyrdb,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW90_PW270_L50/PINV_NW90_PW270_L50_connectivity.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/cells/PINV_NW90_PW270_L50/PINV_NW90_PW270_L50_source_trace.json,APPROVED_EXACT_BINDING,
delay_chain,dinv8,Pinv,"{""length"": ""5e-08"", ""num"": ""1""}",PINV_NW90_PW270_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells,3d0d21c2e747d8836861f878,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW90_PW270_L50/PINV_NW90_PW270_L50_pin_map.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/drc/PINV_NW90_PW270_L50.lyrdb,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW90_PW270_L50/PINV_NW90_PW270_L50_connectivity.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/cells/PINV_NW90_PW270_L50/PINV_NW90_PW270_L50_source_trace.json,APPROVED_EXACT_BINDING,
delay_chain,f'dload_8_{j},Pinv,"{""length"": ""5e-08"", ""num"": ""1""}",PINV_NW90_PW270_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells,3d0d21c2e747d8836861f878,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW90_PW270_L50/PINV_NW90_PW270_L50_pin_map.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/drc/PINV_NW90_PW270_L50.lyrdb,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW90_PW270_L50/PINV_NW90_PW270_L50_connectivity.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/cells/PINV_NW90_PW270_L50/PINV_NW90_PW270_L50_source_trace.json,APPROVED_EXACT_BINDING,
wen_delay_chain,f'winv{i},Pinv,"{""length"": ""length"", ""nmos_width"": ""9e-08"", ""num"": ""'_wen_delay'"", ""pmos_width"": ""2.7e-07""}",,,,,,,,NEW_PRIMITIVE_GENERATOR_REQUIRED,no approved PINV variant for nmos=nmos_width=9e-08 pmos=pmos_width=2.7e-07
wen_delay_chain,f'wload_{i}_{j},Pinv,"{""length"": ""length"", ""nmos_width"": ""9e-08"", ""num"": ""'_wen_delay'"", ""pmos_width"": ""2.7e-07""}",,,,,,,,NEW_PRIMITIVE_GENERATOR_REQUIRED,no approved PINV variant for nmos=nmos_width=9e-08 pmos=pmos_width=2.7e-07
ADDR_DFF,f'dff_{i},dff,{},,,,,,,,APPROVED_SHARED_PHYSICAL_VARIANT,composite child stays hierarchical; leaf primitive binding is resolved separately
DATA_DFF,f'dff_{i},dff,{},,,,,,,,APPROVED_SHARED_PHYSICAL_VARIANT,composite child stays hierarchical; leaf primitive binding is resolved separately
TIME,dff_buf_addr,dff_buf_addr.NAME,{},,,,,,,,UNRESOLVED_PARAMETER,unrecognized child logical module
TIME,dff_buf_data,dff_buf_data.NAME,{},,,,,,,,UNRESOLVED_PARAMETER,unrecognized child logical module
TIME,clkbuf,clkbuf.NAME,{},,,,,,,,UNRESOLVED_PARAMETER,unrecognized child logical module
TIME,inv_clk_bar,inv_clk_bar.NAME,{},,,,,,,,UNRESOLVED_PARAMETER,unrecognized child logical module
TIME,dff_buf,dff_buf.NAME,{},,,,,,,,UNRESOLVED_PARAMETER,unrecognized child logical module
TIME,dff_buf1,dff_buf1.NAME,{},,,,,,,,UNRESOLVED_PARAMETER,unrecognized child logical module
TIME,and2_gated_clk_bar,and2_gated_clk_bar.NAME,{},,,,,,,,UNRESOLVED_PARAMETER,unrecognized child logical module
TIME,and2_gated_clk_buf,and2_gated_clk_buf.NAME,{},,,,,,,,UNRESOLVED_PARAMETER,unrecognized child logical module
TIME,wl_en,wl_en.NAME,{},,,,,,,,UNRESOLVED_PARAMETER,unrecognized child logical module
TIME,inv_wl_en_bar,inv_wl_en_bar.NAME,{},,,,,,,,UNRESOLVED_PARAMETER,unrecognized child logical module
TIME,delaychain,delaychain.NAME,{},,,,,,,,UNRESOLVED_PARAMETER,unrecognized child logical module
TIME,inv_rbl_delay_bar,inv_rbl_delay_bar.NAME,{},,,,,,,,UNRESOLVED_PARAMETER,unrecognized child logical module
TIME,wen_delaychain,wen_delaychain.NAME,{},,,,,,,,UNRESOLVED_PARAMETER,unrecognized child logical module
TIME,w_en,w_en.NAME,{},,,,,,,,UNRESOLVED_PARAMETER,unrecognized child logical module
TIME,s_en,s_en.NAME,{},,,,,,,,UNRESOLVED_PARAMETER,unrecognized child logical module
TIME,pre_unbuf,pre_unbuf.NAME,{},,,,,,,,UNRESOLVED_PARAMETER,unrecognized child logical module
