module_name,source_file,source_class,source_function,source_line,child_instance_name,child_logical_module,child_constructor_expression,child_parameter_expression,child_pin_order,parent_net_connections,internal_net_names
delay_chain,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,DelayChain,self.X,348,f'dload_{i}_{j},Pinv,"Pinv(nmos_model, pmos_model, 9e-08, 2.7e-07, length=5e-08, num=1)","{'length': '5e-08', 'num': '1'}",[],"[""'VDD'"", ""'VSS'"", ""f'dout_{i + 1}'"", ""f'n_{i}_{j}'""]","['dout_1', 'dout_8']"
delay_chain,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,DelayChain,self.X,352,dinv8,Pinv,"Pinv(nmos_model, pmos_model, 9e-08, 2.7e-07, length=5e-08, num=1)","{'length': '5e-08', 'num': '1'}",[],"[""'VDD'"", ""'VSS'"", ""'dout_8'"", ""'out'""]","['dout_1', 'dout_8']"
delay_chain,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,DelayChain,self.X,356,f'dload_8_{j},Pinv,"Pinv(nmos_model, pmos_model, 9e-08, 2.7e-07, length=5e-08, num=1)","{'length': '5e-08', 'num': '1'}",[],"[""'VDD'"", ""'VSS'"", ""'out'"", ""f'n_8_{j}'""]","['dout_1', 'dout_8']"
wen_delay_chain,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,WenDelayChain,self.X,396,f'winv{i},Pinv,"Pinv(nmos_model, pmos_model, nmos_width=9e-08, pmos_width=2.7e-07, length=length, num='_wen_delay')","{'nmos_width': '9e-08', 'pmos_width': '2.7e-07', 'length': 'length', 'num': ""'_wen_delay'""}",[],"[""'VDD'"", ""'VSS'"", 'prev', 'out']",['prev']
wen_delay_chain,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,WenDelayChain,self.X,400,f'wload_{i}_{j},Pinv,"Pinv(nmos_model, pmos_model, nmos_width=9e-08, pmos_width=2.7e-07, length=length, num='_wen_delay')","{'nmos_width': '9e-08', 'pmos_width': '2.7e-07', 'length': 'length', 'num': ""'_wen_delay'""}",[],"[""'VDD'"", ""'VSS'"", 'out', ""f'wn_{i}_{j}'""]",['prev']
ADDR_DFF,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,ADDR_DFF,self.X,440,f'dff_{i},dff,"dff(nmos_model, pmos_model)",{},[],"[""'VDD'"", ""'VSS'"", ""f'A{i}'"", ""f'A_dff{i}'"", ""'CLK'""]",[]
DATA_DFF,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,DATA_DFF,self.X,479,f'dff_{i},dff,"dff(nmos_model, pmos_model, length)",{},[],"[""'VDD'"", ""'VSS'"", ""f'DIN{i}'"", ""f'DIN_dff{i}'"", ""'CLK'""]",[]
TIME,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,TIME,self.X,536,dff_buf_addr,dff_buf_addr.NAME,dff_buf_addr.NAME,{},[],['*addr_dff_connections'],"['PRE_UNBUF', 'rbl_delay_bar_wen', 'w_en_rbl_input', 'wl_en_bar']"
TIME,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,TIME,self.X,554,dff_buf_data,dff_buf_data.NAME,dff_buf_data.NAME,{},[],['*data_dff_connections'],"['PRE_UNBUF', 'rbl_delay_bar_wen', 'w_en_rbl_input', 'wl_en_bar']"
TIME,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,TIME,self.X,579,clkbuf,clkbuf.NAME,clkbuf.NAME,{},[],"[""'VDD'"", ""'VSS'"", ""'clk'"", ""'clk_buf'""]","['PRE_UNBUF', 'rbl_delay_bar_wen', 'w_en_rbl_input', 'wl_en_bar']"
