bank,bit,pin,source_pin,destination_pin,route_id,via_count,length,status
write,8,BR,array.BR[8],write.BR[8],write_BR[8]_V41,0,49.47,PASS
write,9,BL,array.BL[9],write.BL[9],write_BL[9]_V41,0,49.47,PASS
write,9,BR,array.BR[9],write.BR[9],write_BR[9]_V41,0,49.47,PASS
write,10,BL,array.BL[10],write.BL[10],write_BL[10]_V41,0,49.47,PASS
write,10,BR,array.BR[10],write.BR[10],write_BR[10]_V41,0,49.47,PASS
write,11,BL,array.BL[11],write.BL[11],write_BL[11]_V41,0,49.47,PASS
write,11,BR,array.BR[11],write.BR[11],write_BR[11]_V41,0,49.47,PASS
write,12,BL,array.BL[12],write.BL[12],write_BL[12]_V41,0,49.47,PASS
write,12,BR,array.BR[12],write.BR[12],write_BR[12]_V41,0,49.47,PASS
write,13,BL,array.BL[13],write.BL[13],write_BL[13]_V41,0,49.47,PASS
write,13,BR,array.BR[13],write.BR[13],write_BR[13]_V41,0,49.47,PASS
write,14,BL,array.BL[14],write.BL[14],write_BL[14]_V41,0,49.47,PASS
write,14,BR,array.BR[14],write.BR[14],write_BR[14]_V41,0,49.47,PASS
write,15,BL,array.BL[15],write.BL[15],write_BL[15]_V41,0,49.47,PASS
write,15,BR,array.BR[15],write.BR[15],write_BR[15]_V41,0,49.47,PASS
