bank,bit,pin,array_x,bank_x,delta_x,array_y,bank_y
write,0,BL,72.53,72.5325,-0.0025,58.2,8.73
write,0,BR,72.865,72.8625,0.0025,58.2,8.73
write,1,BL,73.235,73.2375,-0.0025,58.2,8.73
write,1,BR,73.57,73.5675,0.0025,58.2,8.73
write,2,BL,73.94,73.9425,-0.0025,58.2,8.73
write,2,BR,74.275,74.2725,0.0025,58.2,8.73
write,3,BL,74.645,74.6475,-0.0025,58.2,8.73
write,3,BR,74.98,74.9775,0.0025,58.2,8.73
write,4,BL,75.35,75.3525,-0.0025,58.2,8.73
write,4,BR,75.685,75.6825,0.0025,58.2,8.73
write,5,BL,76.055,76.0575,-0.0025,58.2,8.73
write,5,BR,76.39,76.3875,0.0025,58.2,8.73
write,6,BL,76.76,76.7625,-0.0025,58.2,8.73
write,6,BR,77.095,77.0925,0.0025,58.2,8.73
write,7,BL,77.465,77.4675,-0.0025,58.2,8.73
write,7,BR,77.8,77.7975,0.0025,58.2,8.73
write,8,BL,78.17,78.1725,-0.0025,58.2,8.73
write,8,BR,78.505,78.5025,0.0025,58.2,8.73
write,9,BL,78.875,78.8775,-0.0025,58.2,8.73
write,9,BR,79.21,79.2075,0.0025,58.2,8.73
write,10,BL,79.58,79.5825,-0.0025,58.2,8.73
write,10,BR,79.915,79.9125,0.0025,58.2,8.73
write,11,BL,80.285,80.2875,-0.0025,58.2,8.73
write,11,BR,80.62,80.6175,0.0025,58.2,8.73
write,12,BL,80.99,80.9925,-0.0025,58.2,8.73
write,12,BR,81.325,81.3225,0.0025,58.2,8.73
write,13,BL,81.695,81.6975,-0.0025,58.2,8.73
write,13,BR,82.03,82.0275,0.0025,58.2,8.73
write,14,BL,82.4,82.4025,-0.0025,58.2,8.73
write,14,BR,82.735,82.7325,0.0025,58.2,8.73
write,15,BL,83.105,83.1075,-0.0025,58.2,8.73
write,15,BR,83.44,83.4375,0.0025,58.2,8.73
