kind,layer,length,net,reason,resource_id,waste_class,x0,x1,y0,y1
m2_gate_bridge,13,0.685,CLK,local M2 gate bridge,232,REQUIRED_CONNECTIVITY,2.9,3.585,-1.565,-1.495
m2_pad,13,0.135,CLK,via1 enclosure,233,REQUIRED_CONNECTIVITY,2.8675,3.0025,-1.5975,-1.4625
m2_trunk_landing,13,0.135,CLK,trunk landing,234,REQUIRED_CONNECTIVITY,3.4825,3.6175,-1.5975,-1.4625
m2_same_row_merge,13,3.515,z2,same-net local row merge,235,REQUIRED_CONNECTIVITY,1.1775,4.6925,3.6375,3.7725
m2_same_row_merge,13,3.515,z2,same-net local row merge,236,REQUIRED_CONNECTIVITY,1.1775,4.6925,-0.5725,-0.4375
m3_local_trunk,15,4.28,CLK,vertical gate-net trunk,237,LEGACY_REPAIR_BRIDGE,3.515,3.585,-1.565,2.715
m3_local_trunk,15,4.28,CLKB,vertical gate-net trunk,238,LEGACY_REPAIR_BRIDGE,3.73,3.8,-1.36,2.92
m3_local_trunk,15,4.28,D,vertical gate-net trunk,239,LEGACY_REPAIR_BRIDGE,3.945,4.015,-1.155,3.125
m3_local_trunk,15,4.28,Q,vertical gate-net trunk,240,LEGACY_REPAIR_BRIDGE,4.16,4.23,-0.95,3.33
m3_local_trunk,15,4.28,z1,vertical gate-net trunk,241,LEGACY_REPAIR_BRIDGE,4.375,4.445,-0.745,3.535
m3_local_trunk,15,4.28,z2,vertical gate-net trunk,242,LEGACY_REPAIR_BRIDGE,4.59,4.66,-0.54,3.74
m3_local_trunk,15,4.28,z5,vertical gate-net trunk,243,LEGACY_REPAIR_BRIDGE,4.805,4.875,-0.335,3.945
m2_pad,13,0.135,Q,S/D ownership bridge,245,REQUIRED_CONNECTIVITY,0.245,0.38,0.8125,0.9475
m2_sd_gate_bridge,13,3.9525,Q,S/D-to-gate net ownership,246,REQUIRED_CONNECTIVITY,0.2775,4.23,0.845,0.915
m2_trunk_landing,13,0.135,Q,S/D ownership bridge,247,REQUIRED_CONNECTIVITY,4.1275,4.2625,0.8125,0.9475
via2,14,0.065,Q,S/D ownership bridge,248,REQUIRED_CONNECTIVITY,4.1625,4.2275,0.8475,0.9125
m3_pad,15,0.135,Q,S/D ownership bridge,249,REQUIRED_DRC_DETOUR,4.1275,4.2625,0.8125,0.9475
m2_pad,13,0.135,z5,S/D ownership bridge,251,REQUIRED_CONNECTIVITY,0.875,1.01,0.9925,1.1275
m2_sd_gate_bridge,13,3.9675,z5,S/D-to-gate net ownership,252,REQUIRED_CONNECTIVITY,0.9075,4.875,1.025,1.095
m2_trunk_landing,13,0.135,z5,S/D ownership bridge,253,REQUIRED_CONNECTIVITY,4.7725,4.9075,0.9925,1.1275
via2,14,0.065,z5,S/D ownership bridge,254,REQUIRED_CONNECTIVITY,4.8075,4.8725,1.0275,1.0925
m3_pad,15,0.135,z5,S/D ownership bridge,255,REQUIRED_DRC_DETOUR,4.7725,4.9075,0.9925,1.1275
m2_pad,13,0.135,z1,S/D ownership bridge,257,REQUIRED_CONNECTIVITY,1.685,1.82,1.1725,1.3075
m2_sd_gate_bridge,13,2.7275,z1,S/D-to-gate net ownership,258,REQUIRED_CONNECTIVITY,1.7175,4.445,1.205,1.275
m2_trunk_landing,13,0.135,z1,S/D ownership bridge,259,REQUIRED_CONNECTIVITY,4.3425,4.4775,1.1725,1.3075
via2,14,0.065,z1,S/D ownership bridge,260,REQUIRED_CONNECTIVITY,4.3775,4.4425,1.2075,1.2725
m3_pad,15,0.135,z1,S/D ownership bridge,261,REQUIRED_DRC_DETOUR,4.3425,4.4775,1.1725,1.3075
m2_pad,13,0.135,z2,S/D ownership bridge,263,REQUIRED_CONNECTIVITY,2.29,2.425,1.3525,1.4875
m2_sd_gate_bridge,13,2.3375,z2,S/D-to-gate net ownership,264,REQUIRED_CONNECTIVITY,2.3225,4.66,1.385,1.455
m2_trunk_landing,13,0.135,z2,S/D ownership bridge,265,REQUIRED_CONNECTIVITY,4.5575,4.6925,1.3525,1.4875
via2,14,0.065,z2,S/D ownership bridge,266,REQUIRED_CONNECTIVITY,4.5925,4.6575,1.3875,1.4525
m3_pad,15,0.135,z2,S/D ownership bridge,267,REQUIRED_DRC_DETOUR,4.5575,4.6925,1.3525,1.4875
m2_pad,13,0.135,CLKB,S/D ownership bridge,269,REQUIRED_CONNECTIVITY,2.7425,2.8775,1.5325,1.6675
m2_sd_gate_bridge,13,1.025,CLKB,S/D-to-gate net ownership,270,REQUIRED_CONNECTIVITY,2.775,3.8,1.565,1.635
m2_trunk_landing,13,0.135,CLKB,S/D ownership bridge,271,REQUIRED_CONNECTIVITY,3.6975,3.8325,1.5325,1.6675
via2,14,0.065,CLKB,S/D ownership bridge,272,REQUIRED_CONNECTIVITY,3.7325,3.7975,1.5675,1.6325
m3_pad,15,0.135,CLKB,S/D ownership bridge,273,REQUIRED_DRC_DETOUR,3.6975,3.8325,1.5325,1.6675
